approval_year,discipline_scope,project_type,unique_projects
1986,B01,general,157
1986,B03,general,164
1986,B04,general,93
1986,B05,general,78
1986,B08,general,54
1987,B01,general,74
1987,B01,special,5
1987,B01,youth_c,2
1987,B02,general,53
1987,B02,youth_c,2
1987,B03,general,66
1987,B03,special,2
1987,B03,youth_c,1
1987,B04,general,62
1987,B04,special,2
1987,B04,youth_c,2
1987,B05,general,30
1987,B05,special,6
1987,B05,youth_c,1
1987,B06,general,5
1987,B07,general,37
1987,B07,youth_c,1
1987,B08,general,40
1987,B08,special,3
1987,B08,youth_c,1
1988,B01,general,68
1988,B01,special,2
1988,B01,youth_c,4
1988,B02,general,33
1988,B02,special,1
1988,B03,general,50
1988,B03,special,3
1988,B03,youth_c,5
1988,B04,general,46
1988,B04,special,1
1988,B04,youth_c,2
1988,B05,general,15
1988,B05,youth_c,1
1988,B06,general,20
1988,B07,general,27
1988,B07,special,2
1988,B07,youth_c,2
1988,B08,general,37
1988,B08,special,3
1988,B08,youth_c,1
1989,B01,general,72
1989,B01,regional,2
1989,B01,youth_c,3
1989,B02,general,36
1989,B02,regional,2
1989,B02,youth_c,3
1989,B03,general,45
1989,B03,youth_c,1
1989,B04,general,57
1989,B04,regional,2
1989,B04,youth_c,2
1989,B05,general,31
1989,B05,youth_c,2
1989,B06,general,20
1989,B06,regional,1
1989,B07,general,28
1989,B07,regional,3
1989,B07,youth_c,2
1989,B08,general,36
1989,B08,regional,2
1989,B08,youth_c,6
1990,B01,general,73
1990,B01,regional,4
1990,B01,special,1
1990,B01,youth_c,4
1990,B02,general,44
1990,B02,special,1
1990,B02,youth_c,5
1990,B03,general,46
1990,B03,special,2
1990,B03,youth_c,4
1990,B04,general,44
1990,B04,regional,2
1990,B04,special,2
1990,B04,youth_c,8
1990,B05,general,28
1990,B05,regional,1
1990,B05,special,2
1990,B05,youth_c,3
1990,B06,general,23
1990,B06,regional,1
1990,B06,youth_c,2
1990,B07,general,27
1990,B07,regional,5
1990,B07,youth_c,2
1990,B08,general,44
1990,B08,regional,2
1990,B08,special,2
1990,B08,youth_c,8
1991,B01,general,59
1991,B01,key,20
1991,B01,regional,7
1991,B01,special,2
1991,B01,youth_c,10
1991,B02,general,39
1991,B02,key,9
1991,B02,special,2
1991,B03,general,46
1991,B03,key,19
1991,B03,regional,3
1991,B03,special,2
1991,B03,youth_c,11
1991,B04,general,47
1991,B04,key,4
1991,B04,regional,1
1991,B04,special,1
1991,B04,youth_c,4
1991,B05,general,26
1991,B05,key,6
1991,B05,regional,2
1991,B05,special,2
1991,B05,youth_c,4
1991,B06,general,24
1991,B06,youth_c,1
1991,B07,general,24
1991,B07,key,6
1991,B07,special,3
1991,B08,general,49
1991,B08,key,12
1991,B08,regional,4
1991,B08,special,2
1991,B08,youth_c,8
1992,B01,general,60
1992,B01,key,7
1992,B01,regional,4
1992,B01,special,3
1992,B01,youth_c,12
1992,B02,general,32
1992,B02,key,7
1992,B02,regional,1
1992,B02,special,1
1992,B02,youth_c,4
1992,B03,general,37
1992,B03,key,5
1992,B03,regional,1
1992,B03,special,3
1992,B03,youth_c,6
1992,B04,general,43
1992,B04,key,10
1992,B04,regional,1
1992,B04,special,1
1992,B04,youth_c,6
1992,B05,general,24
1992,B05,key,5
1992,B05,special,3
1992,B05,youth_c,4
1992,B06,general,18
1992,B06,key,3
1992,B06,regional,1
1992,B06,youth_c,2
1992,B07,general,29
1992,B07,key,4
1992,B07,regional,5
1992,B07,special,4
1992,B07,youth_c,5
1992,B08,general,39
1992,B08,key,12
1992,B08,regional,1
1992,B08,special,2
1992,B08,youth_c,9
1993,B01,general,62
1993,B01,key,4
1993,B01,regional,4
1993,B01,special,6
1993,B01,youth_c,12
1993,B02,general,32
1993,B02,regional,1
1993,B02,special,3
1993,B02,youth_c,2
1993,B03,general,52
1993,B03,key,4
1993,B03,regional,1
1993,B03,special,2
1993,B03,youth_c,11
1993,B04,general,33
1993,B04,youth_c,5
1993,B05,general,21
1993,B05,special,3
1993,B05,youth_c,3
1993,B06,general,21
1993,B06,key,3
1993,B06,regional,1
1993,B06,youth_c,3
1993,B07,general,19
1993,B07,key,1
1993,B07,regional,5
1993,B07,special,2
1993,B07,youth_c,4
1993,B08,general,44
1993,B08,regional,2
1993,B08,special,3
1993,B08,youth_c,10
1993,B09,general,1
1994,B01,general,64
1994,B01,regional,3
1994,B01,special,11
1994,B01,youth_c,10
1994,B02,general,35
1994,B02,regional,1
1994,B02,special,2
1994,B02,youth_c,5
1994,B03,general,45
1994,B03,key,2
1994,B03,regional,1
1994,B03,special,4
1994,B03,youth_c,8
1994,B04,general,33
1994,B04,regional,1
1994,B04,special,1
