segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1986|general|B01|28670|3,1,165,259,95,28670165,28670259
1986|general|B01|28670|3,2,338,399,62,28670338,28670399
1986|general|B03|28670|3,1,1,164,164,28670001,28670164
1986|general|B04|28670|3,1,400,492,93,28670400,28670492
1986|general|B05|28670|3,1,260,337,78,28670260,28670337
1986|general|B08|28670|3,1,493,545,53,28670493,28670545
1986|general|B08|28670|3,2,547,547,1,28670547,28670547
1987|general|B01|28770|3,1,2,5,4,28770002,28770005
1987|general|B01|28770|3,2,7,10,4,28770007,28770010
1987|general|B01|28770|3,3,13,13,1,28770013,28770013
1987|general|B01|28770|3,4,16,17,2,28770016,28770017
1987|general|B01|28770|3,5,19,20,2,28770019,28770020
1987|general|B01|28770|3,6,23,23,1,28770023,28770023
1987|general|B01|28770|3,7,26,27,2,28770026,28770027
1987|general|B01|28770|3,8,29,29,1,28770029,28770029
1987|general|B01|28770|3,9,33,34,2,28770033,28770034
1987|general|B01|28770|3,10,36,37,2,28770036,28770037
1987|general|B01|28770|3,11,40,40,1,28770040,28770040
1987|general|B01|28770|3,12,47,48,2,28770047,28770048
1987|general|B01|28770|3,13,51,52,2,28770051,28770052
1987|general|B01|28770|3,14,54,54,1,28770054,28770054
1987|general|B01|28770|3,15,56,58,3,28770056,28770058
1987|general|B01|28770|3,16,60,60,1,28770060,28770060
1987|general|B01|28770|3,17,63,63,1,28770063,28770063
1987|general|B01|28770|3,18,65,67,3,28770065,28770067
1987|general|B01|28770|3,19,69,69,1,28770069,28770069
1987|general|B01|28770|3,20,73,73,1,28770073,28770073
1987|general|B01|28770|3,21,79,81,3,28770079,28770081
1987|general|B01|28770|3,22,84,84,1,28770084,28770084
1987|general|B01|28770|3,23,87,87,1,28770087,28770087
1987|general|B01|28770|3,24,90,90,1,28770090,28770090
1987|general|B01|28770|3,25,92,96,5,28770092,28770096
1987|general|B01|28770|3,26,99,101,3,28770099,28770101
1987|general|B01|28770|3,27,105,105,1,28770105,28770105
1987|general|B01|28770|3,28,107,107,1,28770107,28770107
1987|general|B01|28770|3,29,110,110,1,28770110,28770110
1987|general|B01|28770|3,30,112,115,4,28770112,28770115
1987|general|B01|28770|3,31,118,118,1,28770118,28770118
1987|general|B01|28770|3,32,121,122,2,28770121,28770122
1987|general|B01|28770|3,33,229,230,2,28770229,28770230
1987|general|B01|28770|3,34,232,232,1,28770232,28770232
1987|general|B01|28770|3,35,242,242,1,28770242,28770242
1987|general|B01|28770|3,36,244,244,1,28770244,28770244
1987|general|B01|28770|3,37,246,246,1,28770246,28770246
1987|general|B01|28770|3,38,248,248,1,28770248,28770248
1987|general|B01|28770|3,39,256,256,1,28770256,28770256
