segment_id,candidate_approval_number,approval_year,project_type_context,discipline_scope_context,segment_density,status,warning
1986|general|B08|28670|3,28670546,1986,general,B08,0.981818,verification_candidate_only,not an inferred project record
1990|general|B02|29070|3,29070149,1990,general,B02,0.897959,verification_candidate_only,not an inferred project record
1990|general|B02|29070|3,29070150,1990,general,B02,0.897959,verification_candidate_only,not an inferred project record
1990|general|B02|29070|3,29070151,1990,general,B02,0.897959,verification_candidate_only,not an inferred project record
1990|general|B02|29070|3,29070152,1990,general,B02,0.897959,verification_candidate_only,not an inferred project record
1990|general|B02|29070|3,29070153,1990,general,B02,0.897959,verification_candidate_only,not an inferred project record
1990|general|B08|29070|3,29070291,1990,general,B08,0.977778,verification_candidate_only,not an inferred project record
1990|youth_c|B04|29000|3,29000018,1990,youth_c,B04,0.800000,verification_candidate_only,not an inferred project record
1990|youth_c|B04|29000|3,29000021,1990,youth_c,B04,0.800000,verification_candidate_only,not an inferred project record
1992|general|B04|29275|3,29275199,1992,general,B04,0.941176,verification_candidate_only,not an inferred project record
1992|general|B04|29275|3,29275209,1992,general,B04,0.941176,verification_candidate_only,not an inferred project record
1992|regional|B07|29262|3,29262008,1992,regional,B07,0.800000,verification_candidate_only,not an inferred project record
1993|general|B04|29375|3,29375193,1993,general,B04,0.800000,verification_candidate_only,not an inferred project record
1993|general|B04|29375|3,29375195,1993,general,B04,0.800000,verification_candidate_only,not an inferred project record
1993|general|B04|29375|3,29375197,1993,general,B04,0.800000,verification_candidate_only,not an inferred project record
1993|general|B04|29375|3,29375201,1993,general,B04,0.800000,verification_candidate_only,not an inferred project record
1993|general|B04|29375|3,29375204,1993,general,B04,0.800000,verification_candidate_only,not an inferred project record
1993|general|B04|29375|3,29375205,1993,general,B04,0.800000,verification_candidate_only,not an inferred project record
1993|general|B04|29375|3,29375211,1993,general,B04,0.800000,verification_candidate_only,not an inferred project record
1993|general|B08|29376|3,29376254,1993,general,B08,0.977273,verification_candidate_only,not an inferred project record
1993|youth_c|B01|29301|3,29301004,1993,youth_c,B01,0.800000,verification_candidate_only,not an inferred project record
1993|youth_c|B01|29302|3,29302008,1993,youth_c,B01,0.800000,verification_candidate_only,not an inferred project record
1993|youth_c|B01|29302|3,29302013,1993,youth_c,B01,0.800000,verification_candidate_only,not an inferred project record
1993|youth_c|B03|29303|3,29303022,1993,youth_c,B03,0.888889,verification_candidate_only,not an inferred project record
1994|general|B04|29475|3,29475193,1994,general,B04,0.885714,verification_candidate_only,not an inferred project record
1994|general|B04|29475|3,29475200,1994,general,B04,0.885714,verification_candidate_only,not an inferred project record
1994|general|B04|29475|3,29475208,1994,general,B04,0.885714,verification_candidate_only,not an inferred project record
1994|general|B04|29475|3,29475210,1994,general,B04,0.885714,verification_candidate_only,not an inferred project record
1994|regional|B07|29462|3,29462006,1994,regional,B07,0.833333,verification_candidate_only,not an inferred project record
1994|youth_c|B05|29404|3,29404030,1994,youth_c,B05,0.800000,verification_candidate_only,not an inferred project record
1995|general|B04|29575|3,29575196,1995,general,B04,0.852941,verification_candidate_only,not an inferred project record
1995|general|B04|29575|3,29575200,1995,general,B04,0.852941,verification_candidate_only,not an inferred project record
1995|general|B04|29575|3,29575203,1995,general,B04,0.852941,verification_candidate_only,not an inferred project record
1995|general|B04|29575|3,29575218,1995,general,B04,0.852941,verification_candidate_only,not an inferred project record
1995|general|B04|29575|3,29575220,1995,general,B04,0.852941,verification_candidate_only,not an inferred project record
1996|general|B04|29675|3,29675013,1996,general,B04,0.823529,verification_candidate_only,not an inferred project record
1996|general|B04|29675|3,29675021,1996,general,B04,0.823529,verification_candidate_only,not an inferred project record
1996|general|B04|29675|3,29675023,1996,general,B04,0.823529,verification_candidate_only,not an inferred project record
1996|general|B04|29675|3,29675025,1996,general,B04,0.823529,verification_candidate_only,not an inferred project record
1996|general|B04|29675|3,29675029,1996,general,B04,0.823529,verification_candidate_only,not an inferred project record
1996|general|B04|29675|3,29675031,1996,general,B04,0.823529,verification_candidate_only,not an inferred project record
1996|general|B08|29676|3,29676028,1996,general,B08,0.977778,verification_candidate_only,not an inferred project record
1996|youth_c|B01|29601|3,29601004,1996,youth_c,B01,0.800000,verification_candidate_only,not an inferred project record
1996|youth_c|B01|29602|3,29602003,1996,youth_c,B01,0.800000,verification_candidate_only,not an inferred project record
1996|youth_c|B01|29602|3,29602004,1996,youth_c,B01,0.800000,verification_candidate_only,not an inferred project record
1996|youth_c|B04|29605|3,29605002,1996,youth_c,B04,0.800000,verification_candidate_only,not an inferred project record
1996|youth_c|B08|29606|3,29606002,1996,youth_c,B08,0.818182,verification_candidate_only,not an inferred project record
1996|youth_c|B08|29606|3,29606010,1996,youth_c,B08,0.818182,verification_candidate_only,not an inferred project record
1997|general|B04|29775|3,29775015,1997,general,B04,0.914286,verification_candidate_only,not an inferred project record
1997|general|B04|29775|3,29775022,1997,general,B04,0.914286,verification_candidate_only,not an inferred project record
1997|general|B04|29775|3,29775033,1997,general,B04,0.914286,verification_candidate_only,not an inferred project record
1998|general|B04|29875|3,29875007,1998,general,B04,0.916667,verification_candidate_only,not an inferred project record
1998|general|B04|29875|3,29875013,1998,general,B04,0.916667,verification_candidate_only,not an inferred project record
1998|general|B04|29875|3,29875029,1998,general,B04,0.916667,verification_candidate_only,not an inferred project record
1998|general|B08|29876|3,29876008,1998,general,B08,0.978723,verification_candidate_only,not an inferred project record
1998|regional|B07|29862|3,29862004,1998,regional,B07,0.800000,verification_candidate_only,not an inferred project record
1998|youth_c|B02|29803|3,29803006,1998,youth_c,B02,0.857143,verification_candidate_only,not an inferred project record
1999|general|B04|29975|3,29975004,1999,general,B04,0.878788,verification_candidate_only,not an inferred project record
1999|general|B04|29975|3,29975007,1999,general,B04,0.878788,verification_candidate_only,not an inferred project record
1999|general|B04|29975|3,29975019,1999,general,B04,0.878788,verification_candidate_only,not an inferred project record
1999|general|B04|29975|3,29975027,1999,general,B04,0.878788,verification_candidate_only,not an inferred project record
1999|youth_c|B02|29903|3,29903010,1999,youth_c,B02,0.909091,verification_candidate_only,not an inferred project record
2000|general|B04|20075|3,20075019,2000,general,B04,0.885714,verification_candidate_only,not an inferred project record
2000|general|B04|20075|3,20075021,2000,general,B04,0.885714,verification_candidate_only,not an inferred project record
2000|general|B04|20075|3,20075023,2000,general,B04,0.885714,verification_candidate_only,not an inferred project record
2000|general|B04|20075|3,20075026,2000,general,B04,0.885714,verification_candidate_only,not an inferred project record
2000|youth_c|B01|20001|3,20001007,2000,youth_c,B01,0.875000,verification_candidate_only,not an inferred project record
2000|youth_c|B06|20007|3,20007002,2000,youth_c,B06,0.833333,verification_candidate_only,not an inferred project record
2001|general|B04|20175|3,20175013,2001,general,B04,0.948718,verification_candidate_only,not an inferred project record
2001|general|B04|20175|3,20175036,2001,general,B04,0.948718,verification_candidate_only,not an inferred project record
2001|general|B08|20176|3,20176025,2001,general,B08,0.954545,verification_candidate_only,not an inferred project record
2001|general|B08|20176|3,20176034,2001,general,B08,0.954545,verification_candidate_only,not an inferred project record
2001|general|B08|20176|3,20176053,2001,general,B08,0.954545,verification_candidate_only,not an inferred project record
2001|youth_c|B01|20102|3,20102007,2001,youth_c,B01,0.875000,verification_candidate_only,not an inferred project record
2001|youth_c|B03|20103|3,20103005,2001,youth_c,B03,0.800000,verification_candidate_only,not an inferred project record
2001|youth_c|B03|20103|3,20103006,2001,youth_c,B03,0.800000,verification_candidate_only,not an inferred project record
2001|youth_c|B08|20106|3,20106002,2001,youth_c,B08,0.812500,verification_candidate_only,not an inferred project record
2001|youth_c|B08|20106|3,20106004,2001,youth_c,B08,0.812500,verification_candidate_only,not an inferred project record
2001|youth_c|B08|20106|3,20106009,2001,youth_c,B08,0.812500,verification_candidate_only,not an inferred project record
2002|general|B04|20275|3,20275026,2002,general,B04,0.978261,verification_candidate_only,not an inferred project record
2002|regional|B01|20261|3,20261006,2002,regional,B01,0.833333,verification_candidate_only,not an inferred project record
2002|youth_c|B01|20202|3,20202005,2002,youth_c,B01,0.846154,verification_candidate_only,not an inferred project record
2002|youth_c|B01|20202|3,20202008,2002,youth_c,B01,0.846154,verification_candidate_only,not an inferred project record
2003|general|B04|20375|3,20375012,2003,general,B04,0.980392,verification_candidate_only,not an inferred project record
2003|regional|B08|20366|3,20366004,2003,regional,B08,0.800000,verification_candidate_only,not an inferred project record
2003|special|B01|20341|3,20341003,2003,special,B01,0.833333,verification_candidate_only,not an inferred project record
2003|special|B02|20343|3,20343004,2003,special,B02,0.800000,verification_candidate_only,not an inferred project record
2003|youth_c|B08|20306|3,20306003,2003,youth_c,B08,0.968750,verification_candidate_only,not an inferred project record
2004|general|B04|20475|3,20475044,2004,general,B04,0.927536,verification_candidate_only,not an inferred project record
2004|general|B04|20475|3,20475062,2004,general,B04,0.927536,verification_candidate_only,not an inferred project record
2004|general|B04|20475|3,20475066,2004,general,B04,0.927536,verification_candidate_only,not an inferred project record
2004|general|B04|20475|3,20475067,2004,general,B04,0.927536,verification_candidate_only,not an inferred project record
2004|general|B04|20475|3,20475068,2004,general,B04,0.927536,verification_candidate_only,not an inferred project record
2004|general|B08|20476|3,20476002,2004,general,B08,0.972477,verification_candidate_only,not an inferred project record
2004|general|B08|20476|3,20476011,2004,general,B08,0.972477,verification_candidate_only,not an inferred project record
2004|general|B08|20476|3,20476060,2004,general,B08,0.972477,verification_candidate_only,not an inferred project record
2004|special|B02|20443|3,20443007,2004,special,B02,0.875000,verification_candidate_only,not an inferred project record
2004|youth_c|B01|20401|3,20401004,2004,youth_c,B01,0.857143,verification_candidate_only,not an inferred project record
2004|youth_c|B01|20401|3,20401007,2004,youth_c,B01,0.857143,verification_candidate_only,not an inferred project record
2005|general|B04|20575|3,20575024,2005,general,B04,0.962963,verification_candidate_only,not an inferred project record
2005|general|B04|20575|3,20575031,2005,general,B04,0.962963,verification_candidate_only,not an inferred project record
2005|general|B04|20575|3,20575061,2005,general,B04,0.962963,verification_candidate_only,not an inferred project record
2005|general|B08|20576|3,20576003,2005,general,B08,0.971831,verification_candidate_only,not an inferred project record
2005|general|B08|20576|3,20576015,2005,general,B08,0.971831,verification_candidate_only,not an inferred project record
2005|general|B08|20576|3,20576042,2005,general,B08,0.971831,verification_candidate_only,not an inferred project record
2005|general|B08|20576|3,20576053,2005,general,B08,0.971831,verification_candidate_only,not an inferred project record
2005|regional|B08|20566|3,20566003,2005,regional,B08,0.800000,verification_candidate_only,not an inferred project record
2005|special|B02|20543|3,20543002,2005,special,B02,0.857143,verification_candidate_only,not an inferred project record
2005|youth_c|B04|20505|3,20505013,2005,youth_c,B04,0.900000,verification_candidate_only,not an inferred project record
2005|youth_c|B04|20505|3,20505015,2005,youth_c,B04,0.900000,verification_candidate_only,not an inferred project record
2005|youth_c|B06|20507|3,20507020,2005,youth_c,B06,0.956522,verification_candidate_only,not an inferred project record
2005|youth_c|B08|20506|3,20506014,2005,youth_c,B08,0.931034,verification_candidate_only,not an inferred project record
2005|youth_c|B08|20506|3,20506015,2005,youth_c,B08,0.931034,verification_candidate_only,not an inferred project record
2006|general|B04|20675|3,20675057,2006,general,B04,0.966292,verification_candidate_only,not an inferred project record
2006|general|B04|20675|3,20675063,2006,general,B04,0.966292,verification_candidate_only,not an inferred project record
2006|general|B04|20675|3,20675073,2006,general,B04,0.966292,verification_candidate_only,not an inferred project record
2006|general|B08|20676|3,20676049,2006,general,B08,0.993590,verification_candidate_only,not an inferred project record
2006|regional|B07|20662|3,20662003,2006,regional,B07,0.875000,verification_candidate_only,not an inferred project record
2006|youth_c|B04|20605|3,20605003,2006,youth_c,B04,0.928571,verification_candidate_only,not an inferred project record
2006|youth_c|B04|20605|3,20605010,2006,youth_c,B04,0.928571,verification_candidate_only,not an inferred project record
2006|youth_c|B08|20606|3,20606016,2006,youth_c,B08,0.973684,verification_candidate_only,not an inferred project record
2007|general|B04|20775|3,20775025,2007,general,B04,0.947917,verification_candidate_only,not an inferred project record
2007|general|B04|20775|3,20775036,2007,general,B04,0.947917,verification_candidate_only,not an inferred project record
2007|general|B04|20775|3,20775049,2007,general,B04,0.947917,verification_candidate_only,not an inferred project record
2007|general|B04|20775|3,20775052,2007,general,B04,0.947917,verification_candidate_only,not an inferred project record
2007|general|B04|20775|3,20775091,2007,general,B04,0.947917,verification_candidate_only,not an inferred project record
2007|general|B08|20776|3,20776012,2007,general,B08,0.987879,verification_candidate_only,not an inferred project record
2007|general|B08|20776|3,20776027,2007,general,B08,0.987879,verification_candidate_only,not an inferred project record
2007|key|B01|20732|3,20732004,2007,key,B01,0.857143,verification_candidate_only,not an inferred project record
2007|key|B03|20733|3,20733004,2007,key,B03,0.875000,verification_candidate_only,not an inferred project record
2007|regional|B02|20763|3,20763007,2007,regional,B02,0.888889,verification_candidate_only,not an inferred project record
2007|special|B01|20741|3,20741005,2007,special,B01,0.857143,verification_candidate_only,not an inferred project record
2007|youth_c|B04|20705|3,20705011,2007,youth_c,B04,0.880952,verification_candidate_only,not an inferred project record
2007|youth_c|B04|20705|3,20705022,2007,youth_c,B04,0.880952,verification_candidate_only,not an inferred project record
2007|youth_c|B04|20705|3,20705024,2007,youth_c,B04,0.880952,verification_candidate_only,not an inferred project record
2007|youth_c|B04|20705|3,20705027,2007,youth_c,B04,0.880952,verification_candidate_only,not an inferred project record
2007|youth_c|B04|20705|3,20705032,2007,youth_c,B04,0.880952,verification_candidate_only,not an inferred project record
2007|youth_c|B06|20707|3,20707004,2007,youth_c,B06,0.975610,verification_candidate_only,not an inferred project record
2008|general|B04|20875|3,20875022,2008,general,B04,0.952381,verification_candidate_only,not an inferred project record
2008|general|B04|20875|3,20875047,2008,general,B04,0.952381,verification_candidate_only,not an inferred project record
2008|general|B04|20875|3,20875061,2008,general,B04,0.952381,verification_candidate_only,not an inferred project record
2008|general|B04|20875|3,20875065,2008,general,B04,0.952381,verification_candidate_only,not an inferred project record
2008|general|B04|20875|3,20875104,2008,general,B04,0.952381,verification_candidate_only,not an inferred project record
2008|general|B08|20876|3,20876002,2008,general,B08,0.989071,verification_candidate_only,not an inferred project record
2008|general|B08|20876|3,20876010,2008,general,B08,0.989071,verification_candidate_only,not an inferred project record
2008|key|B01|20832|3,20832004,2008,key,B01,0.888889,verification_candidate_only,not an inferred project record
2008|key|B04|20835|3,20835002,2008,key,B04,0.833333,verification_candidate_only,not an inferred project record
2009|general|B04|20975|3,20975011,2009,general,B04,0.939655,verification_candidate_only,not an inferred project record
2009|general|B04|20975|3,20975039,2009,general,B04,0.939655,verification_candidate_only,not an inferred project record
2009|general|B04|20975|3,20975040,2009,general,B04,0.939655,verification_candidate_only,not an inferred project record
2009|general|B04|20975|3,20975064,2009,general,B04,0.939655,verification_candidate_only,not an inferred project record
2009|general|B04|20975|3,20975081,2009,general,B04,0.939655,verification_candidate_only,not an inferred project record
2009|general|B04|20975|3,20975107,2009,general,B04,0.939655,verification_candidate_only,not an inferred project record
2009|general|B04|20975|3,20975115,2009,general,B04,0.939655,verification_candidate_only,not an inferred project record
2009|general|B08|20976|3,20976002,2009,general,B08,0.990244,verification_candidate_only,not an inferred project record
2009|general|B08|20976|3,20976059,2009,general,B08,0.990244,verification_candidate_only,not an inferred project record
2009|key|B03|20933|3,20933004,2009,key,B03,0.800000,verification_candidate_only,not an inferred project record
2009|key|B03|20933|3,20933005,2009,key,B03,0.800000,verification_candidate_only,not an inferred project record
2009|youth_c|B04|20905|3,20905015,2009,youth_c,B04,0.950000,verification_candidate_only,not an inferred project record
2009|youth_c|B04|20905|3,20905033,2009,youth_c,B04,0.950000,verification_candidate_only,not an inferred project record
2009|youth_c|B04|20905|3,20905054,2009,youth_c,B04,0.950000,verification_candidate_only,not an inferred project record
2009|youth_c|B04|20905|3,20905075,2009,youth_c,B04,0.950000,verification_candidate_only,not an inferred project record
2010|general|B04|21075|3,21075034,2010,general,B04,0.957447,verification_candidate_only,not an inferred project record
2010|general|B04|21075|3,21075046,2010,general,B04,0.957447,verification_candidate_only,not an inferred project record
2010|general|B04|21075|3,21075053,2010,general,B04,0.957447,verification_candidate_only,not an inferred project record
2010|general|B04|21075|3,21075113,2010,general,B04,0.957447,verification_candidate_only,not an inferred project record
2010|general|B04|21075|3,21075121,2010,general,B04,0.957447,verification_candidate_only,not an inferred project record
2010|general|B04|21075|3,21075138,2010,general,B04,0.957447,verification_candidate_only,not an inferred project record
2010|general|B06|21077|3,21077107,2010,general,B06,0.992857,verification_candidate_only,not an inferred project record
2010|general|B08|21076|3,21076103,2010,general,B08,0.991416,verification_candidate_only,not an inferred project record
2010|general|B08|21076|3,21076143,2010,general,B08,0.991416,verification_candidate_only,not an inferred project record
2010|key|B01|21032|3,21032002,2010,key,B01,0.857143,verification_candidate_only,not an inferred project record
2010|key|B02|21033|3,21033008,2010,key,B02,0.857143,verification_candidate_only,not an inferred project record
2010|key|B05|21034|3,21034004,2010,key,B05,0.800000,verification_candidate_only,not an inferred project record
2010|major_research_plan|B05|91022|3,91022021,2010,major_research_plan,B05,0.800000,verification_candidate_only,not an inferred project record
2010|regional|B04|21065|3,21065007,2010,regional,B04,0.857143,verification_candidate_only,not an inferred project record
2010|regional|B04|21065|3,21065010,2010,regional,B04,0.857143,verification_candidate_only,not an inferred project record
2010|youth_c|B04|21005|3,21005052,2010,youth_c,B04,0.978261,verification_candidate_only,not an inferred project record
2010|youth_c|B04|21005|3,21005063,2010,youth_c,B04,0.978261,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175041,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175063,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175064,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175074,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175095,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175106,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175119,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175123,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175130,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B04|21175|3,21175157,2011,general,B04,0.937107,verification_candidate_only,not an inferred project record
2011|general|B08|21176|3,21176122,2011,general,B08,0.996337,verification_candidate_only,not an inferred project record
2011|key|B01|21132|3,21132003,2011,key,B01,0.857143,verification_candidate_only,not an inferred project record
2011|regional|B04|21165|3,21165011,2011,regional,B04,0.956522,verification_candidate_only,not an inferred project record
2011|regional|B08|21166|3,21166019,2011,regional,B08,0.958333,verification_candidate_only,not an inferred project record
