project_type,discipline_scope,change_year,added_templates,removed_templates,previous_template_count,current_template_count
general,B01,1992,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}74{SERIAL:03d},2{YY}70{SERIAL:03d},1,3
general,B01,2018,,2{YY}72{SERIAL:03d};2{YY}74{SERIAL:03d},3,1
general,B02,1992,2{YY}73{SERIAL:03d},2{YY}70{SERIAL:03d},1,1
general,B02,1995,2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},,1,3
general,B02,1996,2{YY}71{SERIAL:03d},2{YY}74{SERIAL:03d},3,3
general,B02,1997,,2{YY}75{SERIAL:03d},3,2
general,B02,1998,2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},,2,4
general,B02,1999,,2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},4,2
general,B02,2000,2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},2{YY}71{SERIAL:03d},2,3
general,B02,2001,,2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},3,1
general,B02,2002,2{YY}71{SERIAL:03d};2{YY}74{SERIAL:03d},,1,3
general,B02,2004,2{YY}75{SERIAL:03d},,3,4
general,B02,2005,,2{YY}71{SERIAL:03d},4,3
general,B02,2006,,2{YY}75{SERIAL:03d},3,2
general,B02,2007,2{YY}71{SERIAL:03d},,2,3
general,B02,2008,2{YY}75{SERIAL:03d},2{YY}71{SERIAL:03d},3,3
general,B02,2009,2{YY}71{SERIAL:03d},,3,4
general,B02,2013,,2{YY}75{SERIAL:03d},4,3
general,B02,2015,2{YY}75{SERIAL:03d},,3,4
general,B02,2016,,2{YY}75{SERIAL:03d},4,3
general,B02,2018,2{YY}72{SERIAL:03d},2{YY}71{SERIAL:03d};2{YY}73{SERIAL:03d};2{YY}74{SERIAL:03d},3,1
general,B03,1992,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}73{SERIAL:03d};2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},2{YY}70{SERIAL:03d},1,5
general,B03,2018,,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},5,1
general,B04,1992,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}74{SERIAL:03d};2{YY}75{SERIAL:03d},2{YY}70{SERIAL:03d},1,4
general,B04,1993,,2{YY}71{SERIAL:03d},4,3
general,B04,1995,2{YY}71{SERIAL:03d},2{YY}72{SERIAL:03d},3,3
general,B04,1996,2{YY}72{SERIAL:03d},,3,4
general,B04,1997,,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}74{SERIAL:03d},4,1
general,B04,1998,2{YY}74{SERIAL:03d},,1,2
general,B04,1999,2{YY}71{SERIAL:03d},2{YY}74{SERIAL:03d},2,2
general,B04,2000,2{YY}74{SERIAL:03d},2{YY}71{SERIAL:03d},2,2
general,B04,2001,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d},,2,4
general,B04,2002,,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d},4,2
general,B04,2003,2{YY}71{SERIAL:03d},,2,3
general,B04,2004,2{YY}72{SERIAL:03d},,3,4
general,B04,2005,,2{YY}71{SERIAL:03d},4,3
general,B04,2008,2{YY}71{SERIAL:03d},,3,4
general,B04,2009,,2{YY}71{SERIAL:03d},4,3
general,B04,2010,2{YY}71{SERIAL:03d},,3,4
general,B04,2013,,2{YY}71{SERIAL:03d},4,3
general,B04,2014,2{YY}71{SERIAL:03d},2{YY}74{SERIAL:03d},3,3
general,B04,2018,2{YY}74{SERIAL:03d},2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}75{SERIAL:03d},3,1
general,B05,1992,2{YY}72{SERIAL:03d};2{YY}74{SERIAL:03d},2{YY}70{SERIAL:03d},1,2
general,B05,1995,2{YY}71{SERIAL:03d},,2,3
general,B05,1996,,2{YY}71{SERIAL:03d},3,2
general,B05,2003,2{YY}71{SERIAL:03d},,2,3
general,B05,2005,,2{YY}71{SERIAL:03d},3,2
general,B05,2008,2{YY}71{SERIAL:03d},,2,3
general,B05,2014,2{YY}73{SERIAL:03d},,3,4
general,B05_legacy_material_energy,2018,2{YY}75{SERIAL:03d},2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}73{SERIAL:03d};2{YY}74{SERIAL:03d},4,1
general,B06,1992,2{YY}71{SERIAL:03d};2{YY}77{SERIAL:03d},2{YY}70{SERIAL:03d},1,2
general,B06,1993,2{YY}76{SERIAL:03d},2{YY}71{SERIAL:03d},2,2
general,B06,1994,2{YY}71{SERIAL:03d},2{YY}76{SERIAL:03d},2,2
general,B06,1995,2{YY}73{SERIAL:03d},,2,3
general,B06,1996,2{YY}76{SERIAL:03d},2{YY}73{SERIAL:03d},3,3
general,B06,1997,,2{YY}76{SERIAL:03d},3,2
general,B06,1998,2{YY}76{SERIAL:03d},,2,3
general,B06,1999,,2{YY}76{SERIAL:03d},3,2
general,B06,2001,2{YY}76{SERIAL:03d},,2,3
general,B06,2002,,2{YY}71{SERIAL:03d};2{YY}76{SERIAL:03d},3,1
general,B06,2003,2{YY}71{SERIAL:03d},,1,2
general,B06,2004,2{YY}73{SERIAL:03d};2{YY}76{SERIAL:03d},,2,4
general,B06,2005,,2{YY}73{SERIAL:03d},4,3
general,B06,2006,2{YY}73{SERIAL:03d},,3,4
general,B06,2007,,2{YY}73{SERIAL:03d},4,3
general,B06,2009,2{YY}73{SERIAL:03d},,3,4
general,B06,2010,,2{YY}73{SERIAL:03d},4,3
general,B06,2011,2{YY}73{SERIAL:03d},,3,4
general,B06,2012,,2{YY}73{SERIAL:03d},4,3
general,B06,2014,2{YY}73{SERIAL:03d},2{YY}76{SERIAL:03d},3,3
general,B06,2018,2{YY}76{SERIAL:03d},2{YY}71{SERIAL:03d};2{YY}73{SERIAL:03d};2{YY}77{SERIAL:03d},3,1
general,B07,1988,2{YY}79{SERIAL:03d},,1,2
general,B07,1989,,2{YY}79{SERIAL:03d},2,1
general,B07,1992,2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}73{SERIAL:03d},2{YY}70{SERIAL:03d},1,3
general,B07,1993,,2{YY}73{SERIAL:03d},3,2
general,B07,1994,2{YY}73{SERIAL:03d},,2,3
general,B07,1996,,2{YY}73{SERIAL:03d},3,2
general,B07,1998,2{YY}73{SERIAL:03d},,2,3
general,B07,2004,,2{YY}73{SERIAL:03d},3,2
general,B07,2006,2{YY}73{SERIAL:03d},,2,3
general,B07,2017,2{YY}78{SERIAL:03d},,3,4
general,B07,2018,2{YY}77{SERIAL:03d},2{YY}71{SERIAL:03d};2{YY}72{SERIAL:03d};2{YY}73{SERIAL:03d};2{YY}78{SERIAL:03d},4,1
general,B08,1992,2{YY}76{SERIAL:03d},2{YY}70{SERIAL:03d},1,1
general,B08,1993,2{YY}72{SERIAL:03d},,1,2
general,B08,1994,,2{YY}72{SERIAL:03d},2,1
general,B08,1995,2{YY}72{SERIAL:03d},,1,2
general,B08,1996,,2{YY}72{SERIAL:03d},2,1
general,B08,1997,2{YY}72{SERIAL:03d},,1,2
general,B08,2003,,2{YY}72{SERIAL:03d},2,1
general,B08,2004,2{YY}72{SERIAL:03d},,1,2
general,B08,2008,2{YY}73{SERIAL:03d},,2,3
general,B08,2009,,2{YY}73{SERIAL:03d},3,2
general,B08,2010,2{YY}73{SERIAL:03d},,2,3
general,B08,2014,,2{YY}73{SERIAL:03d},3,2
general,B08,2015,2{YY}73{SERIAL:03d},,2,3
general,B08,2016,,2{YY}72{SERIAL:03d},3,2
general,B08,2018,2{YY}78{SERIAL:03d},2{YY}73{SERIAL:03d};2{YY}76{SERIAL:03d},2,1
general,B09,2008,2{YY}73{SERIAL:03d},,1,2
general,B09,2010,,2{YY}74{SERIAL:03d},2,1
general,B09,2011,2{YY}74{SERIAL:03d},,1,2
general,B09,2018,2{YY}75{SERIAL:03d},2{YY}73{SERIAL:03d};2{YY}74{SERIAL:03d},2,1
joint_fund,B01,2012,U{YY}04{SERIAL:03d},2{YY}34{SERIAL:03d},1,1
joint_fund,B01,2014,U{YY}07{SERIAL:03d},,1,2
joint_fund,B01,2015,,U{YY}07{SERIAL:03d},2,1
joint_fund,B01,2019,U19A2{SERIAL:03d},U{YY}04{SERIAL:03d},1,1
joint_fund,B01,2020,U{YY}04{SERIAL:03d},U19A2{SERIAL:03d},1,1
joint_fund,B02,2002,2{YY}33{SERIAL:03d},,1,2
joint_fund,B02,2003,,2{YY}22{SERIAL:03d},2,1
joint_fund,B02,2012,U{YY}04{SERIAL:03d},2{YY}33{SERIAL:03d},1,1
joint_fund,B02,2015,U{YY}10{SERIAL:03d},,1,2
joint_fund,B02,2016,,U{YY}04{SERIAL:03d},2,1
joint_fund,B02,2020,U20A20{SERIAL:03d};U{YY}04{SERIAL:03d},U{YY}10{SERIAL:03d},1,2
joint_fund,B03,2012,U{YY}04{SERIAL:03d},2{YY}33{SERIAL:03d};2{YY}34{SERIAL:03d},2,1
joint_fund,B03,2015,U{YY}10{SERIAL:03d},,1,2
joint_fund,B04,2017,U{YY}36{SERIAL:03d},U{YY}04{SERIAL:03d},1,1
joint_fund,B04,2020,U20A20{SERIAL:03d};U{YY}04{SERIAL:03d},U{YY}36{SERIAL:03d},1,2
joint_fund,B05,2012,U{YY}04{SERIAL:03d},U{YY}34{SERIAL:03d},1,1
joint_fund,B05,2014,U{YY}07{SERIAL:03d},,1,2
joint_fund,B05,2015,,U{YY}07{SERIAL:03d},2,1
joint_fund,B06,2013,U{YY}04{SERIAL:03d},2{YY}22{SERIAL:03d},1,1
joint_fund,B06,2014,U{YY}07{SERIAL:03d},,1,2
joint_fund,B06,2015,,U{YY}07{SERIAL:03d},2,1
joint_fund,B06,2018,U{YY}67{SERIAL:03d},U{YY}04{SERIAL:03d},1,1
joint_fund,B06,2020,U20A20{SERIAL:03d};U20B2{SERIAL:03d},,1,3
joint_fund,B07,2019,U{YY}67{SERIAL:03d},U{YY}04{SERIAL:03d},1,1
joint_fund,B07,2020,U20A20{SERIAL:03d},U{YY}67{SERIAL:03d},1,1
joint_fund,B08,2002,2{YY}36{SERIAL:03d},2{YY}22{SERIAL:03d};2{YY}76{SERIAL:03d},2,1
joint_fund,B08,2004,2{YY}22{SERIAL:03d},2{YY}36{SERIAL:03d},1,1
joint_fund,B08,2006,U{YY}33{SERIAL:03d},2{YY}22{SERIAL:03d},1,1
joint_fund,B08,2007,2{YY}36{SERIAL:03d},,1,2
joint_fund,B08,2008,5{YY}76{SERIAL:03d},2{YY}36{SERIAL:03d};U{YY}33{SERIAL:03d},2,1
joint_fund,B08,2011,U{YY}62{SERIAL:03d},5{YY}76{SERIAL:03d},1,1
joint_fund,B08,2012,U{YY}04{SERIAL:03d},U{YY}62{SERIAL:03d},1,1
joint_fund,B08,2013,U{YY}62{SERIAL:03d},,1,2
