ambiguity_kind,approval_year,subject,values,warning
one_template_multiple_project_types,2001,2{YY}76{SERIAL:03d},general:64;joint_fund:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,2{YY}33{SERIAL:03d},joint_fund:1;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,2{YY}36{SERIAL:03d},joint_fund:1;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,2{YY}33{SERIAL:03d},joint_fund:1;key:7,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,2{YY}34{SERIAL:03d},joint_fund:1;key:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2007,2{YY}33{SERIAL:03d},joint_fund:2;key:8,number template is not a unique project-type identifier
one_template_multiple_project_types,2007,2{YY}34{SERIAL:03d},joint_fund:2;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2007,2{YY}36{SERIAL:03d},joint_fund:3;key:8,number template is not a unique project-type identifier
one_project_type_multiple_templates,1987,special,1{YY}80{SERIAL:03d}:1;2{YY}80{SERIAL:03d}:16;3{YY}80{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1988,general,2{YY}70{SERIAL:03d}:295;2{YY}79{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1988,special,2{YY}49{SERIAL:03d}:3;2{YY}80{SERIAL:03d}:9,project type may occupy several numbering families
one_project_type_multiple_templates,1990,special,2{YY}50{SERIAL:03d}:1;2{YY}80{SERIAL:03d}:9,project type may occupy several numbering families
one_project_type_multiple_templates,1991,key,2{YY}31{SERIAL:03d}:13;2{YY}32{SERIAL:03d}:15;2{YY}33{SERIAL:03d}:20;2{YY}34{SERIAL:03d}:8;2{YY}35{SERIAL:03d}:8;2{YY}36{SERIAL:03d}:12,project type may occupy several numbering families
one_project_type_multiple_templates,1991,special,2{YY}40{SERIAL:03d}:2;2{YY}80{SERIAL:03d}:12,project type may occupy several numbering families
one_project_type_multiple_templates,1992,general,2{YY}71{SERIAL:03d}:34;2{YY}72{SERIAL:03d}:55;2{YY}73{SERIAL:03d}:61;2{YY}74{SERIAL:03d}:42;2{YY}75{SERIAL:03d}:34;2{YY}76{SERIAL:03d}:39;2{YY}77{SERIAL:03d}:17,project type may occupy several numbering families
one_project_type_multiple_templates,1992,key,2{YY}32{SERIAL:03d}:9;2{YY}33{SERIAL:03d}:14;2{YY}34{SERIAL:03d}:4;2{YY}35{SERIAL:03d}:8;2{YY}36{SERIAL:03d}:15;2{YY}37{SERIAL:03d}:3,project type may occupy several numbering families
one_project_type_multiple_templates,1992,regional,2{YY}61{SERIAL:03d}:4;2{YY}62{SERIAL:03d}:5;2{YY}63{SERIAL:03d}:1;2{YY}64{SERIAL:03d}:1;2{YY}65{SERIAL:03d}:1;2{YY}66{SERIAL:03d}:1;2{YY}67{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1992,special,2{YY}22{SERIAL:03d}:5;2{YY}23{SERIAL:03d}:1;2{YY}43{SERIAL:03d}:2;2{YY}44{SERIAL:03d}:1;2{YY}51{SERIAL:03d}:1;2{YY}53{SERIAL:03d}:1;2{YY}81{SERIAL:03d}:2;2{YY}82{SERIAL:03d}:1;2{YY}83{SERIAL:03d}:1;2{YY}84{SERIAL:03d}:1;2{YY}86{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1992,youth_c,2{YY}01{SERIAL:03d}:5;2{YY}02{SERIAL:03d}:11;2{YY}03{SERIAL:03d}:9;2{YY}04{SERIAL:03d}:8;2{YY}05{SERIAL:03d}:4;2{YY}06{SERIAL:03d}:9;2{YY}07{SERIAL:03d}:2,project type may occupy several numbering families
one_project_type_multiple_templates,1993,general,2{YY}71{SERIAL:03d}:32;2{YY}72{SERIAL:03d}:55;2{YY}73{SERIAL:03d}:61;2{YY}74{SERIAL:03d}:38;2{YY}75{SERIAL:03d}:35;2{YY}76{SERIAL:03d}:44;2{YY}77{SERIAL:03d}:20,project type may occupy several numbering families
one_project_type_multiple_templates,1993,key,2{YY}31{SERIAL:03d}:8;2{YY}33{SERIAL:03d}:4,project type may occupy several numbering families
one_project_type_multiple_templates,1993,regional,2{YY}61{SERIAL:03d}:2;2{YY}62{SERIAL:03d}:5;2{YY}63{SERIAL:03d}:2;2{YY}64{SERIAL:03d}:1;2{YY}65{SERIAL:03d}:1;2{YY}66{SERIAL:03d}:2;2{YY}67{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1993,special,2{YY}22{SERIAL:03d}:3;2{YY}43{SERIAL:03d}:2;2{YY}44{SERIAL:03d}:3;2{YY}46{SERIAL:03d}:1;2{YY}53{SERIAL:03d}:1;2{YY}56{SERIAL:03d}:1;2{YY}81{SERIAL:03d}:1;2{YY}82{SERIAL:03d}:2;2{YY}83{SERIAL:03d}:2;2{YY}84{SERIAL:03d}:2;2{YY}86{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1993,youth_c,2{YY}01{SERIAL:03d}:5;2{YY}02{SERIAL:03d}:11;2{YY}03{SERIAL:03d}:9;2{YY}04{SERIAL:03d}:8;2{YY}05{SERIAL:03d}:4;2{YY}06{SERIAL:03d}:10;2{YY}07{SERIAL:03d}:3,project type may occupy several numbering families
one_project_type_multiple_templates,1994,general,2{YY}71{SERIAL:03d}:32;2{YY}72{SERIAL:03d}:54;2{YY}73{SERIAL:03d}:60;2{YY}74{SERIAL:03d}:38;2{YY}75{SERIAL:03d}:35;2{YY}76{SERIAL:03d}:44;2{YY}77{SERIAL:03d}:22,project type may occupy several numbering families
one_project_type_multiple_templates,1994,regional,2{YY}61{SERIAL:03d}:3;2{YY}62{SERIAL:03d}:6;2{YY}63{SERIAL:03d}:1;2{YY}64{SERIAL:03d}:1;2{YY}66{SERIAL:03d}:2;2{YY}67{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1994,special,2{YY}22{SERIAL:03d}:4;2{YY}41{SERIAL:03d}:2;2{YY}42{SERIAL:03d}:3;2{YY}43{SERIAL:03d}:2;2{YY}44{SERIAL:03d}:4;2{YY}53{SERIAL:03d}:2;2{YY}81{SERIAL:03d}:2;2{YY}82{SERIAL:03d}:1;2{YY}83{SERIAL:03d}:2;2{YY}84{SERIAL:03d}:3;2{YY}85{SERIAL:03d}:1;2{YY}86{SERIAL:03d}:2,project type may occupy several numbering families
one_project_type_multiple_templates,1994,youth_c,2{YY}01{SERIAL:03d}:6;2{YY}02{SERIAL:03d}:11;2{YY}03{SERIAL:03d}:9;2{YY}04{SERIAL:03d}:8;2{YY}05{SERIAL:03d}:5;2{YY}06{SERIAL:03d}:10;2{YY}07{SERIAL:03d}:4,project type may occupy several numbering families
one_project_type_multiple_templates,1995,general,2{YY}71{SERIAL:03d}:33;2{YY}72{SERIAL:03d}:55;2{YY}73{SERIAL:03d}:61;2{YY}74{SERIAL:03d}:39;2{YY}75{SERIAL:03d}:34;2{YY}76{SERIAL:03d}:44;2{YY}77{SERIAL:03d}:25,project type may occupy several numbering families
one_project_type_multiple_templates,1995,regional,2{YY}61{SERIAL:03d}:2;2{YY}62{SERIAL:03d}:4;2{YY}63{SERIAL:03d}:1;2{YY}64{SERIAL:03d}:1;2{YY}65{SERIAL:03d}:1;2{YY}66{SERIAL:03d}:1;2{YY}67{SERIAL:03d}:1,project type may occupy several numbering families
