segment_id,approval_year,project_type,discipline_scope,format_family,prefix_before_serial,serial_width,regex,observed_count,min_serial,max_serial,range_size,density,contiguous_run_count,internal_gap_count,min_number,max_number,rule_strength,evidence_scope
1986|general|B01|28670|3,1986,general,B01,numeric8,28670,3,^28670\d{3}$,157,165,399,235,0.668085,2,78,28670165,28670399,moderate,official_completed_subset
1986|general|B03|28670|3,1986,general,B03,numeric8,28670,3,^28670\d{3}$,164,1,164,164,1.000000,1,0,28670001,28670164,contiguous,official_completed_subset
1986|general|B04|28670|3,1986,general,B04,numeric8,28670,3,^28670\d{3}$,93,400,492,93,1.000000,1,0,28670400,28670492,contiguous,official_completed_subset
1986|general|B05|28670|3,1986,general,B05,numeric8,28670,3,^28670\d{3}$,78,260,337,78,1.000000,1,0,28670260,28670337,contiguous,official_completed_subset
1986|general|B08|28670|3,1986,general,B08,numeric8,28670,3,^28670\d{3}$,54,493,547,55,0.981818,2,1,28670493,28670547,dense,official_completed_subset
1987|general|B01|28770|3,1987,general,B01,numeric8,28770,3,^28770\d{3}$,74,2,275,274,0.270073,44,200,28770002,28770275,sparse,official_completed_subset
1987|general|B02|28770|3,1987,general,B02,numeric8,28770,3,^28770\d{3}$,53,12,226,215,0.246512,26,162,28770012,28770226,sparse,official_completed_subset
1987|general|B03|28770|3,1987,general,B03,numeric8,28770,3,^28770\d{3}$,66,1,284,284,0.232394,42,218,28770001,28770284,sparse,official_completed_subset
1987|general|B04|28770|3,1987,general,B04,numeric8,28770,3,^28770\d{3}$,62,41,327,287,0.216028,12,225,28770041,28770327,sparse,official_completed_subset
1987|general|B05|28770|3,1987,general,B05,numeric8,28770,3,^28770\d{3}$,30,145,271,127,0.236220,14,97,28770145,28770271,sparse,official_completed_subset
1987|general|B06|28770|3,1987,general,B06,numeric8,28770,3,^28770\d{3}$,5,39,351,313,0.015974,5,308,28770039,28770351,sparse,official_completed_subset
