project_type,discipline_scope,format_family,template,start_year,end_year,observed_year_count,observed_project_count,program_codes,evidence_scope
general,B01,numeric8,2{YY}70{SERIAL:03d},1986,1991,6,503,70,official_completed_subset
general,B01,numeric8,2{YY}71{SERIAL:03d},1992,2020,29,2362,71,official_completed_subset
general,B01,numeric8,2{YY}72{SERIAL:03d},1992,2017,26,2259,72,official_completed_subset
general,B01,numeric8,2{YY}74{SERIAL:03d},1992,2017,26,719,74,official_completed_subset
general,B02,numeric8,2{YY}70{SERIAL:03d},1987,1991,5,205,70,official_completed_subset
general,B02,numeric8,2{YY}71{SERIAL:03d},1996,1999,4,6,71,official_completed_subset
general,B02,numeric8,2{YY}71{SERIAL:03d},2002,2004,3,4,71,official_completed_subset
general,B02,numeric8,2{YY}71{SERIAL:03d},2007,2007,1,1,71,official_completed_subset
general,B02,numeric8,2{YY}71{SERIAL:03d},2009,2017,9,34,71,official_completed_subset
general,B02,numeric8,2{YY}72{SERIAL:03d},2018,2020,3,534,72,official_completed_subset
general,B02,numeric8,2{YY}73{SERIAL:03d},1992,2017,26,1907,73,official_completed_subset
general,B02,numeric8,2{YY}74{SERIAL:03d},1995,1995,1,2,74,official_completed_subset
general,B02,numeric8,2{YY}74{SERIAL:03d},1998,1998,1,1,74,official_completed_subset
general,B02,numeric8,2{YY}74{SERIAL:03d},2000,2000,1,1,74,official_completed_subset
general,B02,numeric8,2{YY}74{SERIAL:03d},2002,2017,16,54,74,official_completed_subset
general,B02,numeric8,2{YY}75{SERIAL:03d},1995,1996,2,6,75,official_completed_subset
general,B02,numeric8,2{YY}75{SERIAL:03d},1998,1998,1,1,75,official_completed_subset
general,B02,numeric8,2{YY}75{SERIAL:03d},2000,2000,1,3,75,official_completed_subset
general,B02,numeric8,2{YY}75{SERIAL:03d},2004,2005,2,2,75,official_completed_subset
general,B02,numeric8,2{YY}75{SERIAL:03d},2008,2012,5,7,75,official_completed_subset
general,B02,numeric8,2{YY}75{SERIAL:03d},2015,2015,1,1,75,official_completed_subset
general,B03,numeric8,2{YY}70{SERIAL:03d},1986,1991,6,417,70,official_completed_subset
general,B03,numeric8,2{YY}71{SERIAL:03d},1992,2017,26,239,71,official_completed_subset
general,B03,numeric8,2{YY}72{SERIAL:03d},1992,2017,26,158,72,official_completed_subset
general,B03,numeric8,2{YY}73{SERIAL:03d},1992,2020,29,2077,73,official_completed_subset
general,B03,numeric8,2{YY}74{SERIAL:03d},1992,2017,26,412,74,official_completed_subset
general,B03,numeric8,2{YY}75{SERIAL:03d},1992,2017,26,112,75,official_completed_subset
general,B04,numeric8,2{YY}70{SERIAL:03d},1986,1991,6,349,70,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},1992,1992,1,3,71,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},1995,1996,2,2,71,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},1999,1999,1,1,71,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},2001,2001,1,1,71,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},2003,2004,2,2,71,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},2008,2008,1,1,71,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},2010,2012,3,7,71,official_completed_subset
general,B04,numeric8,2{YY}71{SERIAL:03d},2014,2017,4,5,71,official_completed_subset
general,B04,numeric8,2{YY}72{SERIAL:03d},1992,1994,3,5,72,official_completed_subset
general,B04,numeric8,2{YY}72{SERIAL:03d},1996,1996,1,1,72,official_completed_subset
general,B04,numeric8,2{YY}72{SERIAL:03d},2001,2001,1,1,72,official_completed_subset
general,B04,numeric8,2{YY}72{SERIAL:03d},2004,2017,14,38,72,official_completed_subset
general,B04,numeric8,2{YY}74{SERIAL:03d},1992,1996,5,12,74,official_completed_subset
general,B04,numeric8,2{YY}74{SERIAL:03d},1998,1998,1,2,74,official_completed_subset
general,B04,numeric8,2{YY}74{SERIAL:03d},2000,2013,14,84,74,official_completed_subset
general,B04,numeric8,2{YY}74{SERIAL:03d},2018,2020,3,475,74,official_completed_subset
general,B04,numeric8,2{YY}75{SERIAL:03d},1992,2017,26,2170,75,official_completed_subset
general,B05,numeric8,2{YY}70{SERIAL:03d},1986,1991,6,208,70,official_completed_subset
general,B05,numeric8,2{YY}71{SERIAL:03d},1995,1995,1,1,71,official_completed_subset
general,B05,numeric8,2{YY}71{SERIAL:03d},2003,2004,2,2,71,official_completed_subset
general,B05,numeric8,2{YY}71{SERIAL:03d},2008,2016,9,275,71,official_completed_subset
general,B05,numeric8,2{YY}72{SERIAL:03d},1992,2016,25,196,72,official_completed_subset
general,B05,numeric8,2{YY}73{SERIAL:03d},2014,2016,3,45,73,official_completed_subset
general,B05,numeric8,2{YY}74{SERIAL:03d},1992,2016,25,930,74,official_completed_subset
general,B05_legacy_material_energy,numeric8,2{YY}71{SERIAL:03d},2017,2017,1,54,71,official_completed_subset
general,B05_legacy_material_energy,numeric8,2{YY}72{SERIAL:03d},2017,2017,1,4,72,official_completed_subset
general,B05_legacy_material_energy,numeric8,2{YY}73{SERIAL:03d},2017,2017,1,19,73,official_completed_subset
general,B05_legacy_material_energy,numeric8,2{YY}74{SERIAL:03d},2017,2017,1,54,74,official_completed_subset
general,B05_legacy_material_energy,numeric8,2{YY}75{SERIAL:03d},2018,2020,3,528,75,official_completed_subset
general,B06,numeric8,2{YY}70{SERIAL:03d},1987,1991,5,92,70,official_completed_subset
general,B06,numeric8,2{YY}71{SERIAL:03d},1992,1992,1,1,71,official_completed_subset
general,B06,numeric8,2{YY}71{SERIAL:03d},1994,2001,8,18,71,official_completed_subset
general,B06,numeric8,2{YY}71{SERIAL:03d},2003,2017,15,58,71,official_completed_subset
general,B06,numeric8,2{YY}73{SERIAL:03d},1995,1995,1,1,73,official_completed_subset
general,B06,numeric8,2{YY}73{SERIAL:03d},2004,2004,1,1,73,official_completed_subset
general,B06,numeric8,2{YY}73{SERIAL:03d},2006,2006,1,1,73,official_completed_subset
general,B06,numeric8,2{YY}73{SERIAL:03d},2009,2009,1,1,73,official_completed_subset
general,B06,numeric8,2{YY}73{SERIAL:03d},2011,2011,1,2,73,official_completed_subset
general,B06,numeric8,2{YY}73{SERIAL:03d},2014,2017,4,4,73,official_completed_subset
general,B06,numeric8,2{YY}76{SERIAL:03d},1993,1993,1,1,76,official_completed_subset
general,B06,numeric8,2{YY}76{SERIAL:03d},1996,1996,1,1,76,official_completed_subset
general,B06,numeric8,2{YY}76{SERIAL:03d},1998,1998,1,1,76,official_completed_subset
general,B06,numeric8,2{YY}76{SERIAL:03d},2001,2001,1,1,76,official_completed_subset
general,B06,numeric8,2{YY}76{SERIAL:03d},2004,2013,10,21,76,official_completed_subset
general,B06,numeric8,2{YY}76{SERIAL:03d},2018,2020,3,652,76,official_completed_subset
general,B06,numeric8,2{YY}77{SERIAL:03d},1992,2017,26,2281,77,official_completed_subset
general,B07,numeric8,2{YY}70{SERIAL:03d},1987,1991,5,142,70,official_completed_subset
general,B07,numeric8,2{YY}71{SERIAL:03d},1992,2017,26,310,71,official_completed_subset
general,B07,numeric8,2{YY}72{SERIAL:03d},1992,2017,26,1098,72,official_completed_subset
general,B07,numeric8,2{YY}73{SERIAL:03d},1992,1992,1,1,73,official_completed_subset
general,B07,numeric8,2{YY}73{SERIAL:03d},1994,1995,2,2,73,official_completed_subset
general,B07,numeric8,2{YY}73{SERIAL:03d},1998,2003,6,9,73,official_completed_subset
general,B07,numeric8,2{YY}73{SERIAL:03d},2006,2017,12,117,73,official_completed_subset
general,B07,numeric8,2{YY}77{SERIAL:03d},2018,2020,3,405,77,official_completed_subset
general,B07,numeric8,2{YY}78{SERIAL:03d},2017,2017,1,79,78,official_completed_subset
general,B07,numeric8,2{YY}79{SERIAL:03d},1988,1988,1,1,79,official_completed_subset
general,B08,numeric8,2{YY}70{SERIAL:03d},1986,1991,6,260,70,official_completed_subset
general,B08,numeric8,2{YY}72{SERIAL:03d},1993,1993,1,1,72,official_completed_subset
general,B08,numeric8,2{YY}72{SERIAL:03d},1995,1995,1,1,72,official_completed_subset
general,B08,numeric8,2{YY}72{SERIAL:03d},1997,2002,6,12,72,official_completed_subset
general,B08,numeric8,2{YY}72{SERIAL:03d},2004,2015,12,29,72,official_completed_subset
general,B08,numeric8,2{YY}73{SERIAL:03d},2008,2008,1,1,73,official_completed_subset
general,B08,numeric8,2{YY}73{SERIAL:03d},2010,2013,4,16,73,official_completed_subset
general,B08,numeric8,2{YY}73{SERIAL:03d},2015,2017,3,4,73,official_completed_subset
general,B08,numeric8,2{YY}76{SERIAL:03d},1992,2017,26,3854,76,official_completed_subset
general,B08,numeric8,2{YY}78{SERIAL:03d},2018,2020,3,1049,78,official_completed_subset
general,B09,numeric8,2{YY}73{SERIAL:03d},2008,2017,10,138,73,official_completed_subset
general,B09,numeric8,2{YY}74{SERIAL:03d},1993,1993,1,1,74,official_completed_subset
general,B09,numeric8,2{YY}74{SERIAL:03d},1995,1995,1,2,74,official_completed_subset
general,B09,numeric8,2{YY}74{SERIAL:03d},1997,1997,1,1,74,official_completed_subset
general,B09,numeric8,2{YY}74{SERIAL:03d},2002,2009,8,19,74,official_completed_subset
general,B09,numeric8,2{YY}74{SERIAL:03d},2011,2017,7,23,74,official_completed_subset
general,B09,numeric8,2{YY}75{SERIAL:03d},2018,2020,3,386,75,official_completed_subset
joint_fund,B01,alpha_numeric,U{YY}04{SERIAL:03d},2012,2015,4,14,U1204;U1304;U1404;U1504,official_completed_subset
joint_fund,B01,alpha_numeric,U{YY}04{SERIAL:03d},2020,2020,1,8,U2004,official_completed_subset
joint_fund,B01,alpha_numeric,U{YY}07{SERIAL:03d},2014,2014,1,2,U1407,official_completed_subset
joint_fund,B01,numeric8,2{YY}34{SERIAL:03d},2003,2003,1,1,34,official_completed_subset
joint_fund,B01,other,U19A2{SERIAL:03d},2019,2019,1,1,U19A2,official_completed_subset
joint_fund,B02,alpha_numeric,U{YY}04{SERIAL:03d},2012,2015,4,10,U1204;U1304;U1404;U1504,official_completed_subset
joint_fund,B02,alpha_numeric,U{YY}04{SERIAL:03d},2020,2020,1,3,U2004,official_completed_subset
joint_fund,B02,alpha_numeric,U{YY}10{SERIAL:03d},2015,2016,2,4,U1510;U1610,official_completed_subset
joint_fund,B02,numeric8,2{YY}22{SERIAL:03d},2001,2002,2,2,22,official_completed_subset
joint_fund,B02,numeric8,2{YY}33{SERIAL:03d},2002,2003,2,2,33,official_completed_subset
joint_fund,B02,numeric8,2{YY}33{SERIAL:03d},2007,2007,1,1,33,official_completed_subset
joint_fund,B02,other,U20A20{SERIAL:03d},2020,2020,1,2,U20A20,official_completed_subset
joint_fund,B03,alpha_numeric,U{YY}04{SERIAL:03d},2012,2015,4,8,U1204;U1304;U1404;U1504,official_completed_subset
joint_fund,B03,alpha_numeric,U{YY}10{SERIAL:03d},2015,2015,1,2,U1510,official_completed_subset
joint_fund,B03,numeric8,2{YY}33{SERIAL:03d},2007,2007,1,1,33,official_completed_subset
joint_fund,B03,numeric8,2{YY}34{SERIAL:03d},2007,2007,1,2,34,official_completed_subset
joint_fund,B04,alpha_numeric,U{YY}04{SERIAL:03d},2012,2015,4,8,U1204;U1304;U1404;U1504,official_completed_subset
joint_fund,B04,alpha_numeric,U{YY}04{SERIAL:03d},2020,2020,1,1,U2004,official_completed_subset
joint_fund,B04,alpha_numeric,U{YY}36{SERIAL:03d},2017,2017,1,3,U1736,official_completed_subset
joint_fund,B04,other,U20A20{SERIAL:03d},2020,2020,1,1,U20A20,official_completed_subset
joint_fund,B05,alpha_numeric,U{YY}04{SERIAL:03d},2012,2015,4,11,U1204;U1304;U1404;U1504,official_completed_subset
joint_fund,B05,alpha_numeric,U{YY}07{SERIAL:03d},2014,2014,1,2,U1407,official_completed_subset
joint_fund,B05,alpha_numeric,U{YY}34{SERIAL:03d},2006,2006,1,1,U0634,official_completed_subset
joint_fund,B05_legacy_material_energy,alpha_numeric,U{YY}04{SERIAL:03d},2020,2020,1,1,U2004,official_completed_subset
joint_fund,B05_legacy_material_energy,other,U20A20{SERIAL:03d},2020,2020,1,2,U20A20,official_completed_subset
joint_fund,B05_legacy_material_energy,other,U20B2{SERIAL:03d},2020,2020,1,2,U20B2,official_completed_subset
joint_fund,B06,alpha_numeric,U{YY}04{SERIAL:03d},2013,2015,3,3,U1304;U1404;U1504,official_completed_subset
joint_fund,B06,alpha_numeric,U{YY}07{SERIAL:03d},2014,2014,1,1,U1407,official_completed_subset
joint_fund,B06,alpha_numeric,U{YY}67{SERIAL:03d},2018,2020,3,17,U1867;U1967;U2067,official_completed_subset
joint_fund,B06,numeric8,2{YY}22{SERIAL:03d},2001,2001,1,2,22,official_completed_subset
joint_fund,B06,numeric8,2{YY}22{SERIAL:03d},2003,2003,1,3,22,official_completed_subset
joint_fund,B06,other,U20A20{SERIAL:03d},2020,2020,1,6,U20A20,official_completed_subset
joint_fund,B06,other,U20B2{SERIAL:03d},2020,2020,1,3,U20B2,official_completed_subset
joint_fund,B07,alpha_numeric,U{YY}04{SERIAL:03d},2012,2013,2,5,U1204;U1304,official_completed_subset
