discipline_root,candidate_approval_number,approval_year,project_type_contexts,discipline_scope_contexts,segment_ids,max_segment_density,priority,context_risk,next_probe_policy,exact_web_query,funding_web_query,crossref_filter,institution_site_query,status,selected_for_first_batch,warning,crossref_strict_http_status,crossref_strict_total_results,crossref_strict_exact_nsfc_work_count,crossref_fallback_http_status,crossref_fallback_total_results,crossref_fallback_exact_award_count,openalex_award_count,openalex_work_count,openalex_award_http_statuses,openalex_work_http_statuses,confirmed_sources,publication_evidence_count,existence_status,evidence_level,project_title_candidate,lead_investigator_candidate,institution_candidate,candidate_identity_source,official_confirmation_status,requires_web_review,next_action,source_errors,retrieved_at,warning,batch_source_directory
B,20001007,2000,youth_c,B01,2000|youth_c|B01|20001|3,0.875000,P3,true,manual_context_review_before_probe,"""20001007""","""20001007"" ""National Natural Science Foundation of China""","award.number:20001007,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20001007""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,16,16,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
B,20007002,2000,youth_c,B06,2000|youth_c|B06|20007|3,0.833333,P3,false,low_rate_probe,"""20007002""","""20007002"" ""National Natural Science Foundation of China""","award.number:20007002,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20007002""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:57:16+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-004
B,20075019,2000,general,B04,2000|general|B04|20075|3,0.885714,P3,true,manual_context_review_before_probe,"""20075019""","""20075019"" ""National Natural Science Foundation of China""","award.number:20075019,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20075019""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
B,20075021,2000,general,B04,2000|general|B04|20075|3,0.885714,P3,true,manual_context_review_before_probe,"""20075021""","""20075021"" ""National Natural Science Foundation of China""","award.number:20075021,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20075021""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,1,1,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
B,20075023,2000,general,B04,2000|general|B04|20075|3,0.885714,P3,true,manual_context_review_before_probe,"""20075023""","""20075023"" ""National Natural Science Foundation of China""","award.number:20075023,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20075023""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
B,20075026,2000,general,B04,2000|general|B04|20075|3,0.885714,P3,true,manual_context_review_before_probe,"""20075026""","""20075026"" ""National Natural Science Foundation of China""","award.number:20075026,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20075026""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,0,0,0,0,200,200,,0,no_match_all_sources,E_negative_probe_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
B,20102007,2001,youth_c,B01,2001|youth_c|B01|20102|3,0.875000,P3,true,manual_context_review_before_probe,"""20102007""","""20102007"" ""National Natural Science Foundation of China""","award.number:20102007,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20102007""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,1,1,,0,0,0,0,200,200,crossref,1,confirmed_bibliographic,C_bibliographic,,,,,not_checked,true,official_or_institutional_confirmation,,2026-08-27T07:50:51+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-003
B,20103005,2001,youth_c,B03,2001|youth_c|B03|20103|3,0.800000,P3,true,manual_context_review_before_probe,"""20103005""","""20103005"" ""National Natural Science Foundation of China""","award.number:20103005,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20103005""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,0,0,200,1,1,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:58:42+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-005
B,20103006,2001,youth_c,B03,2001|youth_c|B03|20103|3,0.800000,P3,true,manual_context_review_before_probe,"""20103006""","""20103006"" ""National Natural Science Foundation of China""","award.number:20103006,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20103006""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,1,0,200,2,2,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:58:42+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-005
B,20106002,2001,youth_c,B08,2001|youth_c|B08|20106|3,0.812500,P3,true,manual_context_review_before_probe,"""20106002""","""20106002"" ""National Natural Science Foundation of China""","award.number:20106002,award.funder:501100001809","site:edu.cn OR site:ac.cn ""20106002""",queued,false,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,200,6,0,200,7,7,0,0,200,200,,0,award_number_only,D_award_only,,,,,not_checked,true,exact_web_and_institution_search,,2026-08-27T07:58:42+00:00,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred,/home/runner/work/PolyFT/PolyFT/downloaded-remaining/nsfc-be-probe-batch-005
