candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,priority,context_risk,max_segment_density,existence_status,evidence_level,crossref_strict_http_status,crossref_fallback_http_status,openalex_award_http_statuses,openalex_work_http_statuses,exact_web_query,funding_web_query,institution_site_query,next_action,source_errors,warning
50902047,E,2009,youth_c,E02,P1,false,0.993377,award_number_only,D_award_only,200,200,200,200,"""50902047""","""50902047"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""50902047""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51406162,E,2014,youth_c,E06,P1,false,0.991701,award_number_only,D_award_only,200,200,200,200,"""51406162""","""51406162"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51406162""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51905129,E,2019,youth_c,E05,P1,false,0.998208,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51905129""","""51905129"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51905129""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51805101,E,2018,youth_c,E05,P1,false,0.998205,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51805101""","""51805101"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51805101""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51075251,E,2010,general,E05,P1,false,0.997625,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51075251""","""51075251"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51075251""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51704165,E,2017,youth_c,E04,P1,false,0.997050,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51704165""","""51704165"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51704165""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51604146,E,2016,youth_c,E04,P1,false,0.996785,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51604146""","""51604146"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51604146""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51404224,E,2014,youth_c,E04,P1,false,0.996764,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51404224""","""51404224"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51404224""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51172056,E,2011,general,E02,P1,false,0.996587,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51172056""","""51172056"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51172056""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51705367,E,2017,youth_c,E05,P1,false,0.996337,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51705367""","""51705367"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51705367""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51005126,E,2010,youth_c,E05,P1,false,0.996212,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51005126""","""51005126"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51005126""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
51405295,E,2014,youth_c,E05,P1,false,0.996183,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""51405295""","""51405295"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51405295""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
52005324,E,2020,youth_c,E05,P1,false,0.996176,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""52005324""","""52005324"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""52005324""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
21908213,B,2019,youth_c,B08,P1,false,0.996109,no_match_all_sources,E_negative_probe_only,200,200,200,200,"""21908213""","""21908213"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""21908213""",exact_web_and_institution_search,,bibliographic/aggregator evidence only; API channels may share provenance; no PI or project fact inferred
