candidate_approval_number,discipline_root,approval_year,project_type_contexts,discipline_scope_contexts,original_priority,followup_priority,existence_status,confirmed_sources,project_title_candidate,lead_investigator_candidate,institution_candidate,exact_web_query,funding_web_query,institution_site_query,next_action,official_confirmation_status,warning
51875186,E,2018,general,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51875186""","""51875186"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51875186""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51775530,E,2017,general,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51775530""","""51775530"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51775530""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51905129,E,2019,youth_c,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51905129""","""51905129"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51905129""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51805101,E,2018,youth_c,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51805101""","""51805101"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51805101""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51675468,E,2016,general,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51675468""","""51675468"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51675468""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51375019,E,2013,general,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51375019""","""51375019"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51375019""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51505496,E,2015,youth_c,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51505496""","""51505496"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51505496""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51205070,E,2012,youth_c,E05,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51205070""","""51205070"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51205070""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
51075251,E,2010,general,E05,P1,P1_no_bibliographic_match,no_match_all_sources,,,,,"""51075251""","""51075251"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51075251""",exact_web_and_institution_search,not_checked,web review must preserve number evidence and PI evidence as separate claims
51974216,E,2019,general,E04,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""51974216""","""51974216"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""51974216""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
22078194,B,2020,general,B08,P1,P0_official_upgrade,confirmed_bibliographic,crossref,,,,"""22078194""","""22078194"" ""National Natural Science Foundation of China""","site:edu.cn OR site:ac.cn ""22078194""",official_or_institutional_confirmation,not_checked,web review must preserve number evidence and PI evidence as separate claims
