approval_year,discipline_scope,project_type,unique_projects
1986,E01,general,76
1986,E02,general,30
1986,E03,general,23
1986,E04,general,26
1986,E05,general,100
1986,E06,general,64
1986,E07,general,28
1986,E08,general,54
1986,E09,general,16
1986,E10,general,1
1987,E01,general,77
1987,E01,special,16
1987,E01,youth_c,3
1987,E02,general,43
1987,E02,special,14
1987,E02,youth_c,1
1987,E03,general,27
1987,E03,special,8
1987,E03,youth_c,1
1987,E04,general,22
1987,E04,youth_c,1
1987,E05,general,89
1987,E05,special,4
1987,E05,youth_c,2
1987,E06,general,44
1987,E06,special,7
1987,E06,youth_c,3
1987,E07,general,28
1987,E07,special,2
1987,E07,youth_c,1
1987,E08,general,45
1987,E09,general,22
1987,E09,youth_c,1
1987,E10,general,13
1988,E01,general,69
1988,E01,special,10
1988,E01,youth_c,4
1988,E02,general,36
1988,E02,special,4
1988,E03,general,23
1988,E03,special,9
1988,E03,youth_c,2
1988,E04,general,28
1988,E05,general,82
1988,E05,special,6
1988,E05,youth_c,5
1988,E06,general,50
1988,E06,special,4
1988,E06,youth_c,5
1988,E07,general,25
1988,E07,youth_c,3
1988,E08,general,36
1988,E08,youth_c,1
1988,E09,general,24
1988,E09,youth_c,4
1988,E10,general,16
1988,E10,youth_c,1
1988,E11,general,1
1989,E01,general,69
1989,E01,special,1
1989,E01,youth_c,11
1989,E02,general,41
1989,E02,regional,1
1989,E02,special,2
1989,E02,youth_c,5
1989,E03,general,27
1989,E03,special,3
1989,E03,youth_c,4
1989,E04,general,25
1989,E04,youth_c,5
1989,E05,general,68
1989,E05,regional,1
1989,E05,special,1
1989,E05,youth_c,7
1989,E06,general,49
1989,E06,regional,1
1989,E06,special,1
1989,E06,youth_c,5
1989,E07,general,27
1989,E07,youth_c,5
1989,E08,general,56
1989,E08,youth_c,7
1989,E09,general,21
1989,E09,regional,2
1989,E09,special,1
1989,E09,youth_c,4
1989,E10,general,12
1989,E10,youth_c,1
1989,E11,general,1
1990,E01,general,66
1990,E01,regional,2
1990,E01,special,11
1990,E01,youth_c,13
1990,E02,general,42
1990,E02,regional,1
1990,E02,special,12
1990,E02,youth_c,5
1990,E03,general,28
1990,E03,regional,1
1990,E03,special,5
1990,E03,youth_c,3
1990,E04,general,27
1990,E04,youth_c,4
1990,E05,general,81
1990,E05,regional,2
1990,E05,special,9
1990,E05,youth_c,13
1990,E06,general,46
1990,E06,regional,1
1990,E06,special,3
1990,E06,youth_c,8
1990,E07,general,25
1990,E07,youth_c,3
1990,E08,general,46
1990,E08,regional,1
1990,E08,youth_c,9
1990,E09,general,29
1990,E09,regional,2
1990,E09,youth_c,4
1990,E10,general,13
1990,E10,youth_c,3
1991,E01,general,66
1991,E01,key,8
1991,E01,regional,1
1991,E01,special,9
1991,E01,youth_c,13
1991,E02,general,40
1991,E02,key,5
1991,E02,regional,1
1991,E02,special,7
1991,E02,youth_c,6
1991,E03,general,25
1991,E03,key,1
1991,E03,regional,1
1991,E03,special,5
1991,E03,youth_c,4
1991,E04,general,24
1991,E04,key,4
1991,E04,regional,1
1991,E04,youth_c,4
1991,E05,general,84
1991,E05,key,1
1991,E05,regional,2
1991,E05,special,6
1991,E05,youth_c,14
1991,E06,general,43
1991,E06,key,4
1991,E06,regional,1
1991,E06,special,2
1991,E06,youth_c,9
1991,E07,general,20
1991,E07,key,3
1991,E07,special,1
1991,E07,youth_c,5
1991,E08,general,51
1991,E08,regional,1
1991,E08,special,1
1991,E08,youth_c,12
1991,E09,general,24
1991,E09,key,3
1991,E09,regional,2
1991,E09,special,3
1991,E09,youth_c,7
1991,E10,general,11
1991,E10,key,3
1991,E10,youth_c,3
1991,E11,general,1
1992,E01,general,63
1992,E01,key,7
1992,E01,regional,1
1992,E01,special,14
1992,E01,youth_c,12
1992,E02,general,40
1992,E02,key,4
1992,E02,special,21
1992,E02,youth_c,10
1992,E03,general,27
1992,E03,key,8
1992,E03,special,10
1992,E03,youth_c,5
1992,E04,general,25
1992,E04,key,3
1992,E04,regional,2
1992,E04,special,1
1992,E04,youth_c,7
1992,E05,general,88
1992,E05,key,14
1992,E05,regional,1
1992,E05,special,8
1992,E05,youth_c,17
1992,E06,general,46
1992,E06,key,7
1992,E06,regional,1
1992,E06,special,8
1992,E06,youth_c,12
1992,E07,general,21
1992,E07,regional,1
1992,E07,youth_c,5
1992,E08,general,45
1992,E08,key,8
1992,E08,youth_c,10
1992,E09,general,27
1992,E09,key,4
1992,E09,regional,2
1992,E09,youth_c,6
1992,E10,general,14
1992,E10,youth_c,6
1992,E11,general,1
1993,E01,general,74
1993,E01,key,13
1993,E01,regional,1
1993,E01,special,13
1993,E01,youth_c,9
1993,E02,general,41
1993,E02,key,5
1993,E02,regional,1
1993,E02,special,8
1993,E02,youth_c,12
1993,E03,general,31
1993,E03,key,4
1993,E03,regional,1
1993,E03,special,7
1993,E03,youth_c,5
1993,E04,general,23
1993,E04,youth_c,6
1993,E05,general,90
1993,E05,key,9
1993,E05,regional,1
1993,E05,special,7
1993,E05,youth_c,19
1993,E06,general,48
1993,E06,key,4
1993,E06,regional,1
1993,E06,special,4
1993,E06,youth_c,12
1993,E07,general,21
1993,E07,special,1
1993,E07,youth_c,7
1993,E08,general,44
1993,E08,key,3
1993,E08,regional,2
1993,E08,special,1
1993,E08,youth_c,12
1993,E09,general,24
1993,E09,key,6
1993,E09,regional,2
1993,E09,youth_c,8
1993,E10,general,12
1993,E10,youth_c,2
1994,E01,general,71
1994,E01,key,8
1994,E01,regional,2
1994,E01,special,11
1994,E01,youth_c,14
1994,E02,general,41
1994,E02,key,7
1994,E02,regional,1
1994,E02,special,11
1994,E02,youth_c,12
1994,E03,general,29
1994,E03,key,3
1994,E03,regional,1
1994,E03,special,9
1994,E03,youth_c,6
1994,E04,general,27
1994,E04,key,4
1994,E04,special,1
1994,E04,youth_c,6
1994,E05,general,90
1994,E05,key,3
1994,E05,regional,1
1994,E05,special,8
1994,E05,youth_c,19
1994,E06,general,47
1994,E06,key,3
1994,E06,regional,1
1994,E06,special,6
1994,E06,youth_c,12
1994,E07,general,22
1994,E07,key,2
1994,E07,youth_c,7
1994,E08,general,41
1994,E08,regional,1
1994,E08,special,2
1994,E08,youth_c,11
1994,E09,general,25
1994,E09,regional,2
1994,E09,special,3
1994,E09,youth_c,5
1994,E10,general,13
1994,E10,youth_c,4
1994,E11,general,1
1995,E01,general,67
1995,E01,regional,1
1995,E01,special,11
1995,E01,youth_c,15
1995,E02,general,42
1995,E02,regional,1
1995,E02,special,13
1995,E02,youth_c,9
1995,E03,general,30
1995,E03,regional,1
1995,E03,special,9
1995,E03,youth_c,8
1995,E04,general,34
1995,E04,regional,1
1995,E04,special,1
1995,E04,youth_c,8
1995,E05,general,92
1995,E05,regional,2
1995,E05,special,6
1995,E05,youth_c,22
1995,E06,general,47
1995,E06,regional,1
1995,E06,special,6
1995,E06,youth_c,13
1995,E07,general,24
1995,E07,regional,1
1995,E07,youth_c,6
1995,E08,general,43
1995,E08,regional,1
1995,E08,youth_c,11
1995,E09,general,25
1995,E09,regional,1
