segment_id,run_index,run_start_serial,run_end_serial,run_count,run_start_number,run_end_number
1986|general|E01|58670|3,1,248,323,76,58670248,58670323
1986|general|E02|58670|3,1,340,369,30,58670340,58670369
1986|general|E03|58670|3,1,396,418,23,58670396,58670418
1986|general|E04|58670|3,1,370,395,26,58670370,58670395
1986|general|E05|58670|3,1,93,192,100,58670093,58670192
1986|general|E06|58670|3,1,29,92,64,58670029,58670092
1986|general|E07|58670|3,1,1,28,28,58670001,58670028
1986|general|E08|58670|3,1,193,244,52,58670193,58670244
1986|general|E08|58670|3,2,246,247,2,58670246,58670247
1986|general|E09|58670|3,1,324,339,16,58670324,58670339
1986|general|E10|58670|3,1,245,245,1,58670245,58670245
1987|general|E01|58770|3,1,1,76,76,58770001,58770076
1987|general|E01|58770|3,2,79,79,1,58770079,58770079
1987|general|E02|58770|3,1,77,77,1,58770077,58770077
1987|general|E02|58770|3,2,80,121,42,58770080,58770121
1987|general|E03|58770|3,1,122,148,27,58770122,58770148
1987|general|E04|58770|3,1,149,170,22,58770149,58770170
1987|general|E05|58770|3,1,171,257,87,58770171,58770257
1987|general|E05|58770|3,2,309,309,1,58770309,58770309
1987|general|E05|58770|3,3,323,323,1,58770323,58770323
1987|general|E06|58770|3,1,258,301,44,58770258,58770301
1987|general|E07|58770|3,1,302,308,7,58770302,58770308
1987|general|E07|58770|3,2,310,322,13,58770310,58770322
1987|general|E07|58770|3,3,324,331,8,58770324,58770331
1987|general|E08|58770|3,1,332,335,4,58770332,58770335
1987|general|E08|58770|3,2,337,339,3,58770337,58770339
1987|general|E08|58770|3,3,341,342,2,58770341,58770342
1987|general|E08|58770|3,4,344,348,5,58770344,58770348
1987|general|E08|58770|3,5,350,353,4,58770350,58770353
1987|general|E08|58770|3,6,356,357,2,58770356,58770357
1987|general|E08|58770|3,7,360,364,5,58770360,58770364
1987|general|E08|58770|3,8,366,366,1,58770366,58770366
1987|general|E08|58770|3,9,368,377,10,58770368,58770377
1987|general|E08|58770|3,10,379,379,1,58770379,58770379
1987|general|E08|58770|3,11,381,387,7,58770381,58770387
1987|general|E08|58770|3,12,389,389,1,58770389,58770389
1987|general|E09|58770|3,1,390,411,22,58770390,58770411
1987|general|E10|58770|3,1,336,336,1,58770336,58770336
1987|general|E10|58770|3,2,340,340,1,58770340,58770340
1987|general|E10|58770|3,3,343,343,1,58770343,58770343
1987|general|E10|58770|3,4,349,349,1,58770349,58770349
1987|general|E10|58770|3,5,354,355,2,58770354,58770355
1987|general|E10|58770|3,6,358,359,2,58770358,58770359
1987|general|E10|58770|3,7,365,365,1,58770365,58770365
1987|general|E10|58770|3,8,367,367,1,58770367,58770367
1987|general|E10|58770|3,9,378,378,1,58770378,58770378
1987|general|E10|58770|3,10,380,380,1,58770380,58770380
1987|general|E10|58770|3,11,388,388,1,58770388,58770388
1987|special|E01|58750|3,1,412,413,2,58750412,58750413
1987|special|E01|58780|3,1,1,14,14,58780001,58780014
1987|special|E02|58780|3,1,15,24,10,58780015,58780024
1987|special|E02|58780|3,2,26,28,3,58780026,58780028
