project_type,discipline_scope,change_year,added_templates,removed_templates,previous_template_count,current_template_count
general,E01,1989,5{YY}71{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E02,1989,5{YY}72{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E03,1989,5{YY}73{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E04,1989,5{YY}74{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E05,1989,5{YY}75{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E05,1993,5{YY}79{SERIAL:03d},,1,2
general,E05,1994,,5{YY}79{SERIAL:03d},2,1
general,E05,1995,5{YY}79{SERIAL:03d},,1,2
general,E05,1996,,5{YY}79{SERIAL:03d},2,1
general,E06,1989,5{YY}76{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E07,1989,5{YY}77{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E08,1989,5{YY}78{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E09,1989,5{YY}79{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E09,1997,5{YY}78{SERIAL:03d},,1,2
general,E09,1998,,5{YY}78{SERIAL:03d},2,1
general,E10,1989,5{YY}78{SERIAL:03d};5{YY}79{SERIAL:03d},5{YY}70{SERIAL:03d},1,2
general,E10,2020,5{YY}70{SERIAL:03d},5{YY}78{SERIAL:03d};5{YY}79{SERIAL:03d},2,1
general,E11,1989,5{YY}79{SERIAL:03d},5{YY}70{SERIAL:03d},1,1
general,E11,2020,5{YY}71{SERIAL:03d},5{YY}79{SERIAL:03d},1,1
joint_fund,E01,2002,,5{YY}22{SERIAL:03d},2,1
joint_fund,E01,2005,5{YY}22{SERIAL:03d},,1,2
joint_fund,E01,2006,,5{YY}22{SERIAL:03d},2,1
joint_fund,E01,2007,U{YY}34{SERIAL:03d};U{YY}74{SERIAL:03d},,1,3
joint_fund,E01,2008,5{YY}31{SERIAL:03d},U{YY}34{SERIAL:03d};U{YY}74{SERIAL:03d},3,2
joint_fund,E01,2009,,5{YY}31{SERIAL:03d},2,1
joint_fund,E01,2011,U{YY}34{SERIAL:03d},5{YY}71{SERIAL:03d},1,1
joint_fund,E01,2012,U{YY}04{SERIAL:03d},,1,2
joint_fund,E01,2013,,U{YY}34{SERIAL:03d},2,1
joint_fund,E01,2014,U{YY}07{SERIAL:03d};U{YY}35{SERIAL:03d},,1,3
joint_fund,E01,2015,U{YY}08{SERIAL:03d};U{YY}37{SERIAL:03d};U{YY}64{SERIAL:03d},U{YY}07{SERIAL:03d};U{YY}35{SERIAL:03d},3,4
joint_fund,E01,2016,U{YY}10{SERIAL:03d},U{YY}04{SERIAL:03d},4,4
joint_fund,E01,2017,U{YY}06{SERIAL:03d},,4,5
joint_fund,E01,2018,U{YY}09{SERIAL:03d};U{YY}67{SERIAL:03d},U{YY}64{SERIAL:03d},5,6
joint_fund,E01,2019,U19A2{SERIAL:03d};U{YY}64{SERIAL:03d},U{YY}09{SERIAL:03d};U{YY}10{SERIAL:03d};U{YY}37{SERIAL:03d},6,5
joint_fund,E01,2020,U20A20{SERIAL:03d};U20B2{SERIAL:03d};U{YY}37{SERIAL:03d},U19A2{SERIAL:03d};U{YY}08{SERIAL:03d};U{YY}64{SERIAL:03d},5,5
joint_fund,E02,2006,U{YY}34{SERIAL:03d},5{YY}72{SERIAL:03d},1,1
joint_fund,E02,2007,5{YY}72{SERIAL:03d},,1,2
joint_fund,E02,2011,,5{YY}72{SERIAL:03d},2,1
joint_fund,E02,2012,U{YY}04{SERIAL:03d},U{YY}34{SERIAL:03d},1,1
joint_fund,E02,2014,U{YY}35{SERIAL:03d},,1,2
joint_fund,E02,2015,U{YY}10{SERIAL:03d};U{YY}37{SERIAL:03d},U{YY}35{SERIAL:03d},2,3
joint_fund,E02,2016,U{YY}64{SERIAL:03d},U{YY}04{SERIAL:03d},3,3
joint_fund,E02,2018,U{YY}06{SERIAL:03d};U{YY}08{SERIAL:03d};U{YY}09{SERIAL:03d},,3,6
joint_fund,E02,2019,U19A2{SERIAL:03d},U{YY}08{SERIAL:03d},6,6
joint_fund,E02,2020,U20A20{SERIAL:03d},U19A2{SERIAL:03d};U{YY}06{SERIAL:03d};U{YY}09{SERIAL:03d};U{YY}10{SERIAL:03d};U{YY}37{SERIAL:03d};U{YY}64{SERIAL:03d},6,1
joint_fund,E03,2002,,5{YY}03{SERIAL:03d},2,1
joint_fund,E03,2006,U{YY}34{SERIAL:03d},5{YY}73{SERIAL:03d},1,1
joint_fund,E03,2012,U{YY}04{SERIAL:03d},U{YY}34{SERIAL:03d},1,1
joint_fund,E03,2015,U{YY}10{SERIAL:03d};U{YY}37{SERIAL:03d},,1,3
joint_fund,E03,2016,U{YY}08{SERIAL:03d};U{YY}64{SERIAL:03d},U{YY}04{SERIAL:03d};U{YY}10{SERIAL:03d};U{YY}37{SERIAL:03d},3,2
joint_fund,E03,2017,U{YY}06{SERIAL:03d};U{YY}10{SERIAL:03d},U{YY}64{SERIAL:03d},2,3
joint_fund,E03,2018,U{YY}09{SERIAL:03d};U{YY}37{SERIAL:03d};U{YY}64{SERIAL:03d},U{YY}06{SERIAL:03d},3,5
joint_fund,E03,2019,U19A2{SERIAL:03d},U{YY}09{SERIAL:03d};U{YY}10{SERIAL:03d};U{YY}37{SERIAL:03d};U{YY}64{SERIAL:03d},5,2
joint_fund,E03,2020,U20A20{SERIAL:03d};U20B2{SERIAL:03d};U{YY}06{SERIAL:03d};U{YY}37{SERIAL:03d},U19A2{SERIAL:03d};U{YY}08{SERIAL:03d},2,4
joint_fund,E04,2002,,5{YY}30{SERIAL:03d},2,1
joint_fund,E04,2003,5{YY}34{SERIAL:03d},,1,2
joint_fund,E04,2012,U{YY}04{SERIAL:03d};U{YY}60{SERIAL:03d};U{YY}61{SERIAL:03d},5{YY}34{SERIAL:03d};5{YY}74{SERIAL:03d},2,3
joint_fund,E04,2014,U{YY}07{SERIAL:03d};U{YY}35{SERIAL:03d},U{YY}61{SERIAL:03d},3,4
joint_fund,E04,2015,U{YY}08{SERIAL:03d};U{YY}10{SERIAL:03d};U{YY}37{SERIAL:03d},U{YY}07{SERIAL:03d};U{YY}35{SERIAL:03d},4,5
joint_fund,E04,2016,U{YY}64{SERIAL:03d},U{YY}04{SERIAL:03d};U{YY}37{SERIAL:03d},5,4
joint_fund,E04,2019,U19A20{SERIAL:03d};U19A2{SERIAL:03d};U19B2{SERIAL:03d};U{YY}67{SERIAL:03d},U{YY}10{SERIAL:03d};U{YY}64{SERIAL:03d},4,6
joint_fund,E04,2020,U20A20{SERIAL:03d};U20B2{SERIAL:03d},U19A20{SERIAL:03d};U19A2{SERIAL:03d};U19B2{SERIAL:03d};U{YY}08{SERIAL:03d};U{YY}60{SERIAL:03d};U{YY}67{SERIAL:03d},6,2
joint_fund,E05,2003,5{YY}35{SERIAL:03d},5{YY}22{SERIAL:03d},1,1
joint_fund,E05,2004,5{YY}22{SERIAL:03d},5{YY}35{SERIAL:03d},1,1
joint_fund,E05,2006,5{YY}75{SERIAL:03d};U{YY}35{SERIAL:03d},5{YY}22{SERIAL:03d},1,2
