ambiguity_kind,approval_year,subject,values,warning
one_template_multiple_project_types,2001,5{YY}03{SERIAL:03d},joint_fund:2;youth_c:11,number template is not a unique project-type identifier
one_template_multiple_project_types,2001,5{YY}71{SERIAL:03d},general:73;joint_fund:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2001,5{YY}72{SERIAL:03d},general:60;joint_fund:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2001,5{YY}73{SERIAL:03d},general:33;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2001,5{YY}74{SERIAL:03d},general:41;joint_fund:20,number template is not a unique project-type identifier
one_template_multiple_project_types,2001,5{YY}76{SERIAL:03d},general:52;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2001,5{YY}77{SERIAL:03d},general:28;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}08{SERIAL:03d},joint_fund:1;youth_c:18,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}37{SERIAL:03d},joint_fund:1;key:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}38{SERIAL:03d},joint_fund:1;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}39{SERIAL:03d},joint_fund:6;key:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}71{SERIAL:03d},general:81;joint_fund:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}72{SERIAL:03d},general:82;joint_fund:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}73{SERIAL:03d},general:46;joint_fund:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}74{SERIAL:03d},general:56;joint_fund:24,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}78{SERIAL:03d},general:100;joint_fund:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2002,5{YY}79{SERIAL:03d},general:50;joint_fund:7,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}09{SERIAL:03d},joint_fund:1;youth_c:18,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}34{SERIAL:03d},joint_fund:1;key:5,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}35{SERIAL:03d},joint_fund:1;key:5,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}37{SERIAL:03d},joint_fund:1;key:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}39{SERIAL:03d},joint_fund:2;key:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}71{SERIAL:03d},general:100;joint_fund:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}72{SERIAL:03d},general:85;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}74{SERIAL:03d},general:65;joint_fund:22,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}76{SERIAL:03d},general:76;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2003,5{YY}79{SERIAL:03d},general:52;joint_fund:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2004,5{YY}09{SERIAL:03d},joint_fund:2;youth_c:15,number template is not a unique project-type identifier
one_template_multiple_project_types,2004,5{YY}34{SERIAL:03d},joint_fund:1;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2004,5{YY}39{SERIAL:03d},joint_fund:2;key:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2004,5{YY}71{SERIAL:03d},general:104;joint_fund:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2004,5{YY}74{SERIAL:03d},general:78;joint_fund:16,number template is not a unique project-type identifier
one_template_multiple_project_types,2004,5{YY}79{SERIAL:03d},general:65;joint_fund:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2005,5{YY}34{SERIAL:03d},joint_fund:2;key:8,number template is not a unique project-type identifier
one_template_multiple_project_types,2005,5{YY}39{SERIAL:03d},joint_fund:13;key:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2005,5{YY}71{SERIAL:03d},general:110;joint_fund:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2005,5{YY}74{SERIAL:03d},general:98;joint_fund:10,number template is not a unique project-type identifier
one_template_multiple_project_types,2005,5{YY}79{SERIAL:03d},general:79;joint_fund:22,number template is not a unique project-type identifier
one_template_multiple_project_types,2006,5{YY}34{SERIAL:03d},joint_fund:2;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2006,5{YY}39{SERIAL:03d},joint_fund:6;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2006,5{YY}71{SERIAL:03d},general:119;joint_fund:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2006,5{YY}74{SERIAL:03d},general:105;joint_fund:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2006,5{YY}75{SERIAL:03d},general:234;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2006,5{YY}79{SERIAL:03d},general:89;joint_fund:9,number template is not a unique project-type identifier
one_template_multiple_project_types,2007,5{YY}34{SERIAL:03d},joint_fund:3;key:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2007,5{YY}71{SERIAL:03d},general:106;joint_fund:5,number template is not a unique project-type identifier
one_template_multiple_project_types,2007,5{YY}72{SERIAL:03d},general:136;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2007,5{YY}74{SERIAL:03d},general:107;joint_fund:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2008,5{YY}31{SERIAL:03d},joint_fund:1;key:7,number template is not a unique project-type identifier
one_template_multiple_project_types,2008,5{YY}34{SERIAL:03d},joint_fund:5;key:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2008,5{YY}71{SERIAL:03d},general:126;joint_fund:4,number template is not a unique project-type identifier
one_template_multiple_project_types,2008,5{YY}74{SERIAL:03d},general:126;joint_fund:8,number template is not a unique project-type identifier
one_template_multiple_project_types,2008,5{YY}76{SERIAL:03d},general:119;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2009,5{YY}34{SERIAL:03d},joint_fund:5;key:6,number template is not a unique project-type identifier
one_template_multiple_project_types,2009,5{YY}71{SERIAL:03d},general:135;joint_fund:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2009,5{YY}74{SERIAL:03d},general:142;joint_fund:9,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}01{SERIAL:03d},special:1;youth_c:120,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}02{SERIAL:03d},special:2;youth_c:194,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}03{SERIAL:03d},special:1;youth_c:124,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}04{SERIAL:03d},special:1;youth_c:119,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}06{SERIAL:03d},special:3;youth_c:129,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}34{SERIAL:03d},joint_fund:5;key:7,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}71{SERIAL:03d},general:182;special:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}72{SERIAL:03d},general:239;special:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}73{SERIAL:03d},general:179;special:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}74{SERIAL:03d},general:202;joint_fund:10;special:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}75{SERIAL:03d},general:420;special:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}76{SERIAL:03d},general:173;special:1,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}77{SERIAL:03d},general:139;special:3,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}78{SERIAL:03d},general:377;special:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2010,5{YY}79{SERIAL:03d},general:164;special:2,number template is not a unique project-type identifier
one_template_multiple_project_types,2011,5{YY}34{SERIAL:03d},joint_fund:18;key:7,number template is not a unique project-type identifier
one_template_multiple_project_types,2011,5{YY}74{SERIAL:03d},general:246;joint_fund:45,number template is not a unique project-type identifier
one_project_type_multiple_templates,1987,special,5{YY}50{SERIAL:03d}:3;5{YY}80{SERIAL:03d}:48,project type may occupy several numbering families
one_project_type_multiple_templates,1989,general,5{YY}71{SERIAL:03d}:69;5{YY}72{SERIAL:03d}:41;5{YY}73{SERIAL:03d}:27;5{YY}74{SERIAL:03d}:25;5{YY}75{SERIAL:03d}:68;5{YY}76{SERIAL:03d}:49;5{YY}77{SERIAL:03d}:27;5{YY}78{SERIAL:03d}:66;5{YY}79{SERIAL:03d}:24,project type may occupy several numbering families
one_project_type_multiple_templates,1989,regional,5{YY}62{SERIAL:03d}:1;5{YY}65{SERIAL:03d}:1;5{YY}66{SERIAL:03d}:1;5{YY}69{SERIAL:03d}:2,project type may occupy several numbering families
one_project_type_multiple_templates,1989,special,5{YY}41{SERIAL:03d}:1;5{YY}42{SERIAL:03d}:2;5{YY}43{SERIAL:03d}:3;5{YY}45{SERIAL:03d}:1;5{YY}46{SERIAL:03d}:1;5{YY}49{SERIAL:03d}:1,project type may occupy several numbering families
one_project_type_multiple_templates,1989,youth_c,5{YY}01{SERIAL:03d}:11;5{YY}02{SERIAL:03d}:5;5{YY}03{SERIAL:03d}:4;5{YY}04{SERIAL:03d}:5;5{YY}05{SERIAL:03d}:7;5{YY}06{SERIAL:03d}:5;5{YY}07{SERIAL:03d}:5;5{YY}08{SERIAL:03d}:8;5{YY}09{SERIAL:03d}:4,project type may occupy several numbering families
one_project_type_multiple_templates,1990,general,5{YY}71{SERIAL:03d}:66;5{YY}72{SERIAL:03d}:42;5{YY}73{SERIAL:03d}:28;5{YY}74{SERIAL:03d}:27;5{YY}75{SERIAL:03d}:81;5{YY}76{SERIAL:03d}:46;5{YY}77{SERIAL:03d}:25;5{YY}78{SERIAL:03d}:58;5{YY}79{SERIAL:03d}:30,project type may occupy several numbering families
one_project_type_multiple_templates,1990,regional,5{YY}61{SERIAL:03d}:2;5{YY}62{SERIAL:03d}:1;5{YY}63{SERIAL:03d}:1;5{YY}65{SERIAL:03d}:2;5{YY}66{SERIAL:03d}:1;5{YY}68{SERIAL:03d}:1;5{YY}69{SERIAL:03d}:2,project type may occupy several numbering families
one_project_type_multiple_templates,1990,special,5{YY}41{SERIAL:03d}:2;5{YY}42{SERIAL:03d}:1;5{YY}45{SERIAL:03d}:1;5{YY}81{SERIAL:03d}:9;5{YY}82{SERIAL:03d}:11;5{YY}83{SERIAL:03d}:5;5{YY}85{SERIAL:03d}:8;5{YY}86{SERIAL:03d}:3,project type may occupy several numbering families
one_project_type_multiple_templates,1990,youth_c,5{YY}01{SERIAL:03d}:13;5{YY}02{SERIAL:03d}:5;5{YY}03{SERIAL:03d}:3;5{YY}04{SERIAL:03d}:4;5{YY}05{SERIAL:03d}:13;5{YY}06{SERIAL:03d}:8;5{YY}07{SERIAL:03d}:3;5{YY}08{SERIAL:03d}:11;5{YY}09{SERIAL:03d}:5,project type may occupy several numbering families
