segment_id,approval_year,project_type,discipline_scope,format_family,prefix_before_serial,serial_width,regex,observed_count,min_serial,max_serial,range_size,density,contiguous_run_count,internal_gap_count,min_number,max_number,rule_strength,evidence_scope
1986|general|E01|58670|3,1986,general,E01,numeric8,58670,3,^58670\d{3}$,76,248,323,76,1.000000,1,0,58670248,58670323,contiguous,official_completed_subset
1986|general|E02|58670|3,1986,general,E02,numeric8,58670,3,^58670\d{3}$,30,340,369,30,1.000000,1,0,58670340,58670369,contiguous,official_completed_subset
1986|general|E03|58670|3,1986,general,E03,numeric8,58670,3,^58670\d{3}$,23,396,418,23,1.000000,1,0,58670396,58670418,contiguous,official_completed_subset
1986|general|E04|58670|3,1986,general,E04,numeric8,58670,3,^58670\d{3}$,26,370,395,26,1.000000,1,0,58670370,58670395,contiguous,official_completed_subset
1986|general|E05|58670|3,1986,general,E05,numeric8,58670,3,^58670\d{3}$,100,93,192,100,1.000000,1,0,58670093,58670192,contiguous,official_completed_subset
1986|general|E06|58670|3,1986,general,E06,numeric8,58670,3,^58670\d{3}$,64,29,92,64,1.000000,1,0,58670029,58670092,contiguous,official_completed_subset
1986|general|E07|58670|3,1986,general,E07,numeric8,58670,3,^58670\d{3}$,28,1,28,28,1.000000,1,0,58670001,58670028,contiguous,official_completed_subset
1986|general|E08|58670|3,1986,general,E08,numeric8,58670,3,^58670\d{3}$,54,193,247,55,0.981818,2,1,58670193,58670247,dense,official_completed_subset
1986|general|E09|58670|3,1986,general,E09,numeric8,58670,3,^58670\d{3}$,16,324,339,16,1.000000,1,0,58670324,58670339,contiguous,official_completed_subset
1986|general|E10|58670|3,1986,general,E10,numeric8,58670,3,^58670\d{3}$,1,245,245,1,1.000000,1,0,58670245,58670245,contiguous,official_completed_subset
1987|general|E01|58770|3,1987,general,E01,numeric8,58770,3,^58770\d{3}$,77,1,79,79,0.974684,2,2,58770001,58770079,dense,official_completed_subset
1987|general|E02|58770|3,1987,general,E02,numeric8,58770,3,^58770\d{3}$,43,77,121,45,0.955556,2,2,58770077,58770121,dense,official_completed_subset
1987|general|E03|58770|3,1987,general,E03,numeric8,58770,3,^58770\d{3}$,27,122,148,27,1.000000,1,0,58770122,58770148,contiguous,official_completed_subset
1987|general|E04|58770|3,1987,general,E04,numeric8,58770,3,^58770\d{3}$,22,149,170,22,1.000000,1,0,58770149,58770170,contiguous,official_completed_subset
