project_type,discipline_scope,format_family,template,start_year,end_year,observed_year_count,observed_project_count,program_codes,evidence_scope
general,E01,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,222,70,official_completed_subset
general,E01,numeric8,5{YY}71{SERIAL:03d},1989,2020,32,4184,71,official_completed_subset
general,E02,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,109,70,official_completed_subset
general,E02,numeric8,5{YY}72{SERIAL:03d},1989,2021,33,4925,72,official_completed_subset
general,E03,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,73,70,official_completed_subset
general,E03,numeric8,5{YY}73{SERIAL:03d},1989,2020,32,3461,73,official_completed_subset
general,E04,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,76,70,official_completed_subset
general,E04,numeric8,5{YY}74{SERIAL:03d},1989,2020,32,4479,74,official_completed_subset
general,E05,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,271,70,official_completed_subset
general,E05,numeric8,5{YY}75{SERIAL:03d},1989,2020,32,8832,75,official_completed_subset
general,E05,numeric8,5{YY}79{SERIAL:03d},1993,1993,1,1,79,official_completed_subset
general,E05,numeric8,5{YY}79{SERIAL:03d},1995,1995,1,1,79,official_completed_subset
general,E06,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,158,70,official_completed_subset
general,E06,numeric8,5{YY}76{SERIAL:03d},1989,2020,32,3756,76,official_completed_subset
general,E07,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,81,70,official_completed_subset
general,E07,numeric8,5{YY}77{SERIAL:03d},1989,2021,33,3002,77,official_completed_subset
general,E08,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,135,70,official_completed_subset
general,E08,numeric8,5{YY}78{SERIAL:03d},1989,2020,32,6453,78,official_completed_subset
general,E09,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,62,70,official_completed_subset
general,E09,numeric8,5{YY}78{SERIAL:03d},1997,1997,1,1,78,official_completed_subset
general,E09,numeric8,5{YY}79{SERIAL:03d},1989,2020,32,2362,79,official_completed_subset
general,E10,numeric8,5{YY}70{SERIAL:03d},1986,1988,3,30,70,official_completed_subset
general,E10,numeric8,5{YY}70{SERIAL:03d},2020,2020,1,196,70,official_completed_subset
general,E10,numeric8,5{YY}78{SERIAL:03d},1989,2019,31,1674,78,official_completed_subset
general,E10,numeric8,5{YY}79{SERIAL:03d},1989,2019,31,442,79,official_completed_subset
general,E11,numeric8,5{YY}70{SERIAL:03d},1988,1988,1,1,70,official_completed_subset
general,E11,numeric8,5{YY}71{SERIAL:03d},2020,2020,1,110,71,official_completed_subset
general,E11,numeric8,5{YY}79{SERIAL:03d},1989,1989,1,1,79,official_completed_subset
general,E11,numeric8,5{YY}79{SERIAL:03d},1991,1992,2,2,79,official_completed_subset
general,E11,numeric8,5{YY}79{SERIAL:03d},1994,1995,2,2,79,official_completed_subset
general,E11,numeric8,5{YY}79{SERIAL:03d},1997,1997,1,2,79,official_completed_subset
general,E11,numeric8,5{YY}79{SERIAL:03d},1999,2019,21,785,79,official_completed_subset
general,E12,numeric8,5{YY}72{SERIAL:03d},2020,2020,1,102,72,official_completed_subset
general,E13,numeric8,5{YY}73{SERIAL:03d},2020,2020,1,94,73,official_completed_subset
joint_fund,E01,alpha_numeric,U{YY}04{SERIAL:03d},2012,2015,4,10,U1204;U1304;U1404;U1504,official_completed_subset
